"Date","Status","Home","Score","","Away","Attd"
"10/8/2018","FT","Manchester United","2","1","Leicester City","74,439"
"","","Pogba (3'), Shaw (83')","","","Vardy (90')",""
"11/8/2018","FT","AFC Bournemouth","2","0","Cardiff City","10,353"
"","","Fraser (24'), Wilson (90')","","","",""
"11/8/2018","FT","Fulham","0","2","Crystal Palace","24,821"
"","","","","","Schlupp (41'), Zaha (79')",""
"11/8/2018","FT","Huddersfield Town","0","3","Chelsea","24,121"
"","","","","","Kante (32'), Jorginho (43'), Pedro (80')",""
"11/8/2018","FT","Newcastle United","1","2","Tottenham Hotspur","51,749"
"","","Joselu (11')","","","Vertonghen (8'), Alli (16')",""
"11/8/2018","FT","Watford","2","0","Brighton & Hove Albion","20,051"
"","","Pereyra (34', 54')","","","",""
"11/8/2018","FT","Wolverhampton Wanderers","2","2","Everton","31,231"
"","","Neves (42'), Jimenez (79')","","","Richarlison (17', 67')",""
"12/8/2018","FT","Arsenal","0","2","Manchester City","59,934"
"","","","","","Sterling (14'), Silva (64')",""
"12/8/2018","FT","Liverpool","4","0","West Ham United","53,235"
"","","Salah (19'), Mane (45', 53'), Sturridge (87')","","","",""
"12/8/2018","FT","Southampton","0","0","Burnley","30,784"
"18/8/2018","FT","Cardiff City","0","0","Newcastle United","30,720"
"18/8/2018","FT","Chelsea","3","2","Arsenal","40,491"
"","","Pedro (9'), Morata (20'), Alonso (80')","","","Mkhitaryan (36'), Iwobi (39')",""
"18/8/2018","FT","Everton","2","1","Southampton","38,601"
"","","Walcott (15'), Richarlison (30')","","","Ings (55')",""
"18/8/2018","FT","Leicester City","2","0","Wolverhampton Wanderers","32,043"
"","","Doherty (29' og), Maddison (43')","","","",""
"18/8/2018","FT","Tottenham Hotspur","3","1","Fulham","58,297"
"","","Lucas (43'), Trippier (74'), Kane (77')","","","Mitrovic (52')",""
"18/8/2018","FT","West Ham United","1","2","AFC Bournemouth","56,888"
"","","Arnautovic (31')","","","Wilson (61'), Cook (66')",""
"19/8/2018","FT","Brighton & Hove Albion","3","2","Manchester United","30,592"
"","","","","","Lukaku (33'), Pogba (90')",""
"19/8/2018","FT","Burnley","1","3","Watford","18,822"
"","","Tarkowski (7')","","","Gray (3'), Deeney (48'), Hughes (51')",""
"19/8/2018","FT","Manchester City","6","1","Huddersfield Town","54,021"
"","","Aguero (25', 33', 76'), Jesus (29'), Silva (48'), Kongolo (84' og)","","","Gorenc Stankovic (41')",""
"20/8/2018","FT","Crystal Palace","0","2","Liverpool","25,750"
"","","","","","Milner (45' pen), Mane (90')",""
"25/8/2018","FT","AFC Bournemouth","2","2","Everton","10,654"
"","","King (73' pen), Ake (78')","","","Walcott (55'), Keane (64')",""
"25/8/2018","FT","Arsenal","3","1","West Ham United","59,830"
"","","Monreal (29'), Diop (70' og), Welbeck (90')","","","Arnautovic (24')",""
"25/8/2018","FT","Huddersfield Town","0","0","Cardiff City","23,787"
"25/8/2018","FT","Liverpool","1","0","Brighton & Hove Albion","53,294"
"","","Salah (22')","","","",""
"25/8/2018","FT","Southampton","1","2","Leicester City","29,925"
"","","Bertrand (52')","","","",""
"25/8/2018","FT","Wolverhampton Wanderers","1","1","Manchester City","31,322"
"","","Boly (57')","","","Laporte (68')",""
"26/8/2018","FT","Fulham","4","2","Burnley","23,438"
"","","Michael Seri (4'), Mitrovic (34', 36'), Schurrle (84')","","","Hendrick (11'), Tarkowski (39')",""
"26/8/2018","FT","Newcastle United","1","2","Chelsea","51,791"
"","","Joselu (82')","","","Hazard (76'), Yedlin (87' og)",""
"26/8/2018","FT","Watford","2","1","Crystal Palace","20,014"
"","","Pereyra (53'), Holebas (70')","","","Zaha (77')",""
"27/8/2018","FT","Manchester United","0","3","Tottenham Hotspur","74,400"
"","","","","","Kane (50'), Lucas (52', 83')",""
