"Match","Position","Points"
"1","7","1"
"2","14","1"
"3","16","1"
"4","16","2"
"5","15","3"
"6","17","3"
"7","18","3"
"8","19","3"
"9","19","3"
"10","17","6"
"11","17","6"
"12","17","9"
"13","17","12"
"14","17","13"
"15","16","16"
"16","14","19"
"17","12","22"
"18","11","25"
"19","13","25"
"20","13","25"
"21","13","26"
"22","13","27"
"23","14","27"
"24","14","28"
"25","15","28"
"26","14","31"
"27","13","32"
"28","13","35"
"29","13","38"
"30","11","41"
"31","12","41"
"32","12","42"
"33","13","42"
"34","10","45"
"35","10","48"
"36","10","48"
"37","12","48"
"38","13","48"
