Season,Match,Position,Date
2017_18,1,0.0,2017-08-12
2017_18,2,17.0,2017-08-19
2017_18,3,17.0,2017-08-26
2017_18,4,18.0,2017-09-09
2017_18,5,19.0,2017-09-15
2017_18,6,19.0,2017-09-23
2017_18,7,19.0,2017-09-30
2017_18,8,19.0,2017-10-14
2017_18,9,19.0,2017-10-21
2017_18,10,19.0,2017-10-28
2017_18,11,19.0,2017-11-04
2017_18,12,16.0,2017-11-18
2017_18,13,13.0,2017-11-25
2017_18,14,12.0,2017-11-29
2017_18,15,15.0,2017-12-03
2017_18,16,14.0,2017-12-09
2017_18,17,14.0,2017-12-13
2017_18,18,14.0,2017-12-17
2017_18,19,16.0,2017-12-23
2017_18,20,18.0,2017-12-26
2017_18,21,18.0,2017-12-30
2017_18,22,14.0,2018-01-01
2017_18,23,14.0,2018-01-14
2017_18,24,13.0,2018-01-20
2017_18,25,12.0,2018-01-31
2017_18,26,10.0,2018-02-03
2017_18,27,9.0,2018-02-11
2017_18,28,10.0,2018-02-24
2017_18,29,11.0,2018-03-03
2017_18,30,11.0,2018-03-11
2017_18,31,12.0,2018-03-17
2017_18,32,10.0,2018-03-31
2017_18,33,10.0,2018-04-07
2017_18,34,11.0,2018-04-14
2017_18,35,11.0,2018-04-18
2017_18,36,11.0,2018-04-28
2017_18,37,12.0,2018-05-05
2017_18,38,12.0,2018-05-13
2018_19,1,12.0,2018-08-11
2018_19,2,2.0,2018-08-18
2018_19,3,3.0,2018-08-25
2018_19,4,3.0,2018-09-01
2018_19,5,6.0,2018-09-15
2018_19,6,5.0,2018-09-22
2018_19,7,7.0,2018-10-01
2018_19,8,7.0,2018-10-06
2018_19,9,5.0,2018-10-20
2018_19,10,6.0,2018-10-27
2018_19,11,6.0,2018-11-03
2018_19,12,6.0,2018-11-10
2018_19,13,6.0,2018-11-25
2018_19,14,8.0,2018-12-01
2018_19,15,9.0,2018-12-04
2018_19,16,6.0,2018-12-08
2018_19,17,8.0,2018-12-15
2018_19,18,11.0,2018-12-22
2018_19,19,8.0,2018-12-26
2018_19,20,11.0,2018-12-30
2018_19,21,12.0,2019-01-02
2018_19,22,12.0,2019-01-13
2018_19,23,12.0,2019-01-19
2018_19,24,12.0,2019-01-30
2018_19,25,10.0,2019-02-02
2018_19,26,10.0,2019-02-09
2018_19,27,11.0,2019-02-23
2018_19,28,10.0,2019-02-27
2018_19,29,12.0,2019-03-02
2018_19,30,12.0,2019-03-09
2018_19,31,12.0,2019-03-16
2018_19,32,11.0,2019-03-30
2018_19,33,12.0,2019-04-06
2018_19,34,13.0,2019-04-13
2018_19,35,12.0,2019-04-20
2018_19,36,13.0,2019-04-27
2018_19,37,14.0,2019-05-04
2018_19,38,13.0,2019-05-12
2022_23,1,14.0,2022-08-06
2022_23,2,2.0,2022-08-13
2022_23,3,10.0,2022-08-20
2022_23,4,14.0,2022-08-27
2022_23,5,16.0,2022-08-31
2022_23,6,16.0,2022-09-03
2022_23,7,13.0,2022-09-17
2022_23,8,12.0,2022-10-01
2022_23,9,12.0,2022-10-08
2022_23,10,8.0,2022-10-15
2022_23,11,9.0,2022-10-19
2022_23,12,11.0,2022-10-24
2022_23,13,14.0,2022-10-29
2022_23,14,14.0,2022-11-05
2022_23,15,16.0,2022-11-12
2022_23,16,13.0,2022-12-27
2022_23,17,14.0,2022-12-31
2022_23,18,15.0,2023-01-03
2022_23,19,15.0,2023-01-14
2022_23,20,17.0,2023-01-21
2022_23,21,18.0,2023-02-04
2022_23,22,19.0,2023-02-11
2022_23,23,19.0,2023-02-18
2022_23,24,17.0,2023-02-25
2022_23,25,19.0,2023-03-04
2022_23,26,20.0,2023-03-11
2022_23,27,17.0,2023-03-18
2022_23,28,19.0,2023-04-01
2022_23,29,15.0,2023-04-04
2022_23,30,18.0,2023-04-08
2022_23,31,15.0,2023-04-15
2022_23,32,14.0,2023-04-23
2022_23,33,15.0,2023-04-27
2022_23,34,14.0,2023-04-30
2022_23,35,13.0,2023-05-06
2022_23,36,14.0,2023-05-13
2022_23,37,14.0,2023-05-20
2022_23,38,14.0,2023-05-28
2023_24,1,15.0,2023-08-12
2023_24,2,7.0,2023-08-19
2023_24,3,14.0,2023-08-26
2023_24,4,16.0,2023-09-02
2023_24,5,16.0,2023-09-17
2023_24,6,15.0,2023-09-24
2023_24,7,17.0,2023-09-30
2023_24,8,18.0,2023-10-07
2023_24,9,19.0,2023-10-21
2023_24,10,19.0,2023-10-28
2023_24,11,17.0,2023-11-04
2023_24,12,17.0,2023-11-11
2023_24,13,17.0,2023-11-25
2023_24,14,17.0,2023-12-03
2023_24,15,17.0,2023-12-06
2023_24,16,16.0,2023-12-09
2023_24,17,14.0,2023-12-23
2023_24,18,12.0,2023-12-26
2023_24,19,11.0,2023-12-31
2023_24,20,13.0,2024-01-21
2023_24,21,13.0,2024-02-01
2023_24,22,13.0,2024-02-04
2023_24,23,13.0,2024-02-10
2023_24,24,14.0,2024-02-17
2023_24,25,14.0,2024-02-24
2023_24,26,15.0,2024-03-03
2023_24,27,14.0,2024-03-09
2023_24,28,13.0,2024-03-13
2023_24,29,13.0,2024-03-30
2023_24,30,13.0,2024-04-02
2023_24,31,11.0,2024-04-06
2023_24,32,12.0,2024-04-13
2023_24,33,12.0,2024-04-21
2023_24,34,13.0,2024-04-24
2023_24,35,10.0,2024-04-28
2023_24,36,10.0,2024-05-04
2023_24,37,10.0,2024-05-11
2023_24,38,12.0,2024-05-19
