"Match","Position","Points"
"1","1","3"
"2","11","3"
"3","16","3"
"4","9","6"
"5","12","7"
"6","7","10"
"7","5","13"
"8","6","13"
"9","5","16"
"10","5","19"
"11","6","19"
"12","6","22"
"13","4","25"
"14","4","28"
"15","5","28"
"16","5","29"
"17","7","30"
"18","4","33"
"19","5","34"
"20","6","37"
"21","5","38"
"22","6","39"
"23","6","39"
"24","6","42"
"25","6","42"
"26","6","45"
"27","6","45"
"28","6","45"
"29","6","45"
"30","6","48"
"31","6","51"
"32","6","54"
"33","6","54"
"34","6","57"
"35","6","57"
"36","6","60"
"37","6","60"
"38","6","63"
