"Match","Position","Points"
"1","17","0"
"2","9","3"
"3","13","3"
"4","15","3"
"5","19","3"
"6","17","4"
"7","13","7"
"8","14","8"
"9","16","9"
"10","16","9"
"11","17","9"
"12","14","12"
"13","16","12"
"14","13","15"
"15","12","18"
"16","12","18"
"17","12","21"
"18","11","22"
"19","11","25"
"20","11","28"
"21","11","28"
"22","11","28"
"23","11","28"
"24","11","31"
"25","11","34"
"26","11","35"
"27","11","38"
"28","9","41"
"29","7","44"
"30","6","47"
"31","6","50"
"32","6","51"
"33","5","54"
"34","7","54"
"35","8","54"
"36","7","57"
"37","7","58"
"38","7","61"
