Season,Match,Position,Date
2022_23,1,0.0,2022-08-06
2022_23,2,17.0,2022-08-13
2022_23,3,9.0,2022-08-20
2022_23,4,13.0,2022-08-28
2022_23,5,15.0,2022-08-31
2022_23,6,19.0,2022-09-03
2022_23,7,17.0,2022-09-16
2022_23,8,13.0,2022-10-02
2022_23,9,14.0,2022-10-10
2022_23,10,16.0,2022-10-16
2022_23,11,16.0,2022-10-20
2022_23,12,17.0,2022-10-23
2022_23,13,14.0,2022-10-29
2022_23,14,16.0,2022-11-06
2022_23,15,13.0,2022-11-13
2022_23,16,12.0,2022-12-26
2022_23,17,12.0,2023-01-01
2022_23,18,12.0,2023-01-04
2022_23,19,11.0,2023-01-13
2022_23,20,11.0,2023-01-21
2022_23,21,11.0,2023-02-04
2022_23,22,11.0,2023-02-12
2022_23,23,11.0,2023-02-18
2022_23,24,11.0,2023-02-25
2022_23,25,11.0,2023-03-04
2022_23,26,11.0,2023-03-12
2022_23,27,11.0,2023-03-18
2022_23,28,11.0,2023-04-01
2022_23,29,9.0,2023-04-04
2022_23,30,7.0,2023-04-08
2022_23,31,6.0,2023-04-15
2022_23,32,6.0,2023-04-22
2022_23,33,6.0,2023-04-25
2022_23,34,5.0,2023-04-30
2022_23,35,7.0,2023-05-06
2022_23,36,8.0,2023-05-13
2022_23,37,7.0,2023-05-20
2022_23,38,7.0,2023-05-28
2023_24,1,7.0,2023-08-12
2023_24,2,20.0,2023-08-20
2023_24,3,10.0,2023-08-27
2023_24,4,7.0,2023-09-03
2023_24,5,10.0,2023-09-16
2023_24,6,7.0,2023-09-24
2023_24,7,6.0,2023-09-30
2023_24,8,5.0,2023-10-08
2023_24,9,5.0,2023-10-22
2023_24,10,5.0,2023-10-29
2023_24,11,5.0,2023-11-05
2023_24,12,5.0,2023-11-12
2023_24,13,5.0,2023-11-26
2023_24,14,4.0,2023-12-03
2023_24,15,4.0,2023-12-06
2023_24,16,3.0,2023-12-09
2023_24,17,3.0,2023-12-17
2023_24,18,3.0,2023-12-22
2023_24,19,2.0,2023-12-26
2023_24,20,3.0,2023-12-30
2023_24,21,2.0,2024-01-14
2023_24,22,3.0,2024-01-30
2023_24,23,4.0,2024-02-03
2023_24,24,4.0,2024-02-11
2023_24,25,5.0,2024-02-17
2023_24,26,4.0,2024-02-24
2023_24,27,4.0,2024-03-02
2023_24,28,4.0,2024-03-10
2023_24,29,4.0,2024-03-17
2023_24,30,4.0,2024-03-30
2023_24,31,4.0,2024-04-03
2023_24,32,4.0,2024-04-06
2023_24,33,4.0,2024-04-14
2023_24,34,4.0,2024-04-21
2023_24,35,4.0,2024-04-27
2023_24,36,4.0,2024-05-05
2023_24,37,4.0,2024-05-13
2023_24,38,4.0,2024-05-19
