"Match","Position","Points"
"1","9","1"
"2","3","4"
"3","5","4"
"4","9","5"
"5","9","6"
"6","7","9"
"7","9","9"
"8","10","10"
"9","12","10"
"10","8","13"
"11","9","14"
"12","10","14"
"13","11","15"
"14","10","16"
"15","10","19"
"16","10","20"
"17","9","23"
"18","7","26"
"19","8","29"
"20","8","30"
"21","7","33"
"22","8","34"
"23","9","35"
"24","9","38"
"25","9","38"
"26","8","41"
"27","8","42"
"28","7","43"
"29","9","43"
"30","9","43"
"31","9","43"
"32","10","44"
"33","9","47"
"34","9","50"
"35","9","50"
"36","9","53"
"37","9","56"
"38","9","59"
