Season,Match,Position,Date
2022_23,1,0.0,2022-08-07
2022_23,2,9.0,2022-08-13
2022_23,3,3.0,2022-08-20
2022_23,4,5.0,2022-08-27
2022_23,5,9.0,2022-08-30
2022_23,6,9.0,2022-09-03
2022_23,7,7.0,2022-09-18
2022_23,8,9.0,2022-10-01
2022_23,9,10.0,2022-10-08
2022_23,10,12.0,2022-10-14
2022_23,11,8.0,2022-10-19
2022_23,12,9.0,2022-10-23
2022_23,13,10.0,2022-10-29
2022_23,14,11.0,2022-11-05
2022_23,15,10.0,2022-11-12
2022_23,16,10.0,2022-12-26
2022_23,17,10.0,2022-12-30
2022_23,18,9.0,2023-01-02
2022_23,19,7.0,2023-01-14
2022_23,20,8.0,2023-01-22
2022_23,21,8.0,2023-02-04
2022_23,22,7.0,2023-02-11
2022_23,23,8.0,2023-02-18
2022_23,24,9.0,2023-03-06
2022_23,25,9.0,2023-03-11
2022_23,26,9.0,2023-03-15
2022_23,27,8.0,2023-03-18
2022_23,28,8.0,2023-04-01
2022_23,29,7.0,2023-04-05
2022_23,30,9.0,2023-04-08
2022_23,31,9.0,2023-04-15
2022_23,32,9.0,2023-04-22
2022_23,33,10.0,2023-04-26
2022_23,34,9.0,2023-04-29
2022_23,35,9.0,2023-05-06
2022_23,36,9.0,2023-05-14
2022_23,37,9.0,2023-05-20
2022_23,38,9.0,2023-05-28
2023_24,1,9.0,2023-08-13
2023_24,2,7.0,2023-08-19
2023_24,3,3.0,2023-08-26
2023_24,4,7.0,2023-09-02
2023_24,5,7.0,2023-09-16
2023_24,6,10.0,2023-09-23
2023_24,7,13.0,2023-10-01
2023_24,8,13.0,2023-10-07
2023_24,9,14.0,2023-10-21
2023_24,10,14.0,2023-10-28
2023_24,11,10.0,2023-11-04
2023_24,12,9.0,2023-11-12
2023_24,13,11.0,2023-11-25
2023_24,14,11.0,2023-12-02
2023_24,15,10.0,2023-12-06
2023_24,16,11.0,2023-12-09
2023_24,17,12.0,2023-12-17
2023_24,18,13.0,2023-12-27
2023_24,19,15.0,2023-12-30
2023_24,20,17.0,2024-01-20
2023_24,21,15.0,2024-01-31
2023_24,22,16.0,2024-02-05
2023_24,23,16.0,2024-02-10
2023_24,24,15.0,2024-02-17
2023_24,25,15.0,2024-02-20
2023_24,26,15.0,2024-02-26
2023_24,27,16.0,2024-03-02
2023_24,28,16.0,2024-03-09
2023_24,29,16.0,2024-03-16
2023_24,30,16.0,2024-03-30
2023_24,31,16.0,2024-04-03
2023_24,32,17.0,2024-04-06
2023_24,33,16.0,2024-04-13
2023_24,34,15.0,2024-04-20
2023_24,35,14.0,2024-04-27
2023_24,36,16.0,2024-05-04
2023_24,37,16.0,2024-05-11
2023_24,38,16.0,2024-05-19
