"Match","Position","Points"
"1","6","3"
"2","6","4"
"3","5","7"
"4","3","10"
"5","4","10"
"6","4","13"
"7","4","14"
"8","6","14"
"9","7","14"
"10","7","15"
"11","8","15"
"12","8","18"
"13","6","21"
"14","7","21"
"15","7","24"
"16","8","24"
"17","8","27"
"18","7","30"
"19","6","31"
"20","6","34"
"21","6","35"
"22","7","35"
"23","8","38"
"24","7","39"
"25","7","42"
"26","6","43"
"27","6","46"
"28","7","46"
"29","7","49"
"30","8","49"
"31","8","52"
"32","6","55"
"33","7","55"
"34","6","58"
"35","6","58"
"36","6","61"
"37","6","62"
"38","6","62"
