Season,Match,Position,Date
2017_18,1,0.0,2017-08-12
2017_18,2,19.0,2017-08-19
2017_18,3,18.0,2017-08-26
2017_18,4,17.0,2017-09-09
2017_18,5,13.0,2017-09-15
2017_18,6,14.0,2017-09-24
2017_18,7,13.0,2017-10-01
2017_18,8,14.0,2017-10-15
2017_18,9,14.0,2017-10-20
2017_18,10,10.0,2017-10-29
2017_18,11,12.0,2017-11-04
2017_18,12,8.0,2017-11-20
2017_18,13,9.0,2017-11-25
2017_18,14,9.0,2017-11-28
2017_18,15,10.0,2017-12-02
2017_18,16,11.0,2017-12-09
2017_18,17,13.0,2017-12-13
2017_18,18,13.0,2017-12-16
2017_18,19,13.0,2017-12-23
2017_18,20,12.0,2017-12-26
2017_18,21,12.0,2017-12-30
2017_18,22,12.0,2018-01-01
2017_18,23,12.0,2018-01-13
2017_18,24,15.0,2018-01-20
2017_18,25,16.0,2018-01-31
2017_18,26,15.0,2018-02-03
2017_18,27,13.0,2018-02-10
2017_18,28,13.0,2018-02-24
2017_18,29,12.0,2018-03-04
2017_18,30,10.0,2018-03-10
2017_18,31,11.0,2018-03-31
2017_18,32,13.0,2018-04-07
2017_18,33,13.0,2018-04-14
2017_18,34,13.0,2018-04-17
2017_18,35,13.0,2018-04-28
2017_18,36,14.0,2018-05-04
2017_18,37,11.0,2018-05-09
2017_18,38,14.0,2018-05-13
2018_19,1,15.0,2018-08-11
2018_19,2,17.0,2018-08-19
2018_19,3,11.0,2018-08-25
2018_19,4,12.0,2018-09-01
2018_19,5,12.0,2018-09-17
2018_19,6,14.0,2018-09-22
2018_19,7,13.0,2018-09-29
2018_19,8,14.0,2018-10-05
2018_19,9,12.0,2018-10-20
2018_19,10,12.0,2018-10-27
2018_19,11,11.0,2018-11-03
2018_19,12,12.0,2018-11-10
2018_19,13,12.0,2018-11-24
2018_19,14,12.0,2018-12-01
2018_19,15,11.0,2018-12-04
2018_19,16,10.0,2018-12-08
2018_19,17,11.0,2018-12-16
2018_19,18,13.0,2018-12-22
2018_19,19,13.0,2018-12-26
2018_19,20,13.0,2018-12-29
2018_19,21,13.0,2019-01-02
2018_19,22,13.0,2019-01-12
2018_19,23,13.0,2019-01-19
2018_19,24,13.0,2019-01-29
2018_19,25,13.0,2019-02-02
2018_19,26,13.0,2019-02-09
2018_19,27,14.0,2019-02-26
2018_19,28,16.0,2019-03-02
2018_19,29,15.0,2019-03-09
2018_19,30,15.0,2019-03-30
2018_19,31,15.0,2019-04-03
2018_19,32,15.0,2019-04-13
2018_19,33,17.0,2019-04-16
2018_19,34,17.0,2019-04-20
2018_19,35,17.0,2019-04-23
2018_19,36,17.0,2019-04-27
2018_19,37,17.0,2019-05-05
2018_19,38,17.0,2019-05-12
2022_23,1,17.0,2022-08-07
2022_23,2,6.0,2022-08-13
2022_23,3,6.0,2022-08-21
2022_23,4,5.0,2022-08-27
2022_23,5,3.0,2022-08-30
2022_23,6,4.0,2022-09-04
2022_23,7,4.0,2022-10-01
2022_23,8,4.0,2022-10-08
2022_23,9,6.0,2022-10-14
2022_23,10,7.0,2022-10-18
2022_23,11,7.0,2022-10-22
2022_23,12,8.0,2022-10-29
2022_23,13,8.0,2022-11-05
2022_23,14,6.0,2022-11-13
2022_23,15,7.0,2022-12-26
2022_23,16,7.0,2022-12-31
2022_23,17,8.0,2023-01-03
2022_23,18,8.0,2023-01-14
2022_23,19,7.0,2023-01-21
2022_23,20,6.0,2023-02-04
2022_23,21,6.0,2023-02-11
2022_23,22,6.0,2023-02-18
2022_23,23,7.0,2023-03-04
2022_23,24,8.0,2023-03-11
2022_23,25,7.0,2023-03-15
2022_23,26,7.0,2023-04-01
2022_23,27,6.0,2023-04-04
2022_23,28,6.0,2023-04-08
2022_23,29,7.0,2023-04-15
2022_23,30,7.0,2023-04-26
2022_23,31,8.0,2023-04-29
2022_23,32,8.0,2023-05-04
2022_23,33,6.0,2023-05-08
2022_23,34,7.0,2023-05-14
2022_23,35,6.0,2023-05-18
2022_23,36,6.0,2023-05-21
2022_23,37,6.0,2023-05-24
2022_23,38,6.0,2023-05-28
2023_24,1,6.0,2023-08-12
2023_24,2,2.0,2023-08-19
2023_24,3,1.0,2023-08-26
2023_24,4,4.0,2023-09-02
2023_24,5,4.0,2023-09-16
2023_24,6,4.0,2023-09-24
2023_24,7,3.0,2023-09-30
2023_24,8,6.0,2023-10-08
2023_24,9,6.0,2023-10-21
2023_24,10,7.0,2023-10-29
2023_24,11,7.0,2023-11-04
2023_24,12,7.0,2023-11-12
2023_24,13,8.0,2023-11-25
2023_24,14,7.0,2023-12-03
2023_24,15,8.0,2023-12-06
2023_24,16,8.0,2023-12-09
2023_24,17,8.0,2023-12-17
2023_24,18,9.0,2023-12-21
2023_24,19,8.0,2023-12-28
2023_24,20,8.0,2024-01-02
2023_24,21,7.0,2024-01-22
2023_24,22,7.0,2024-01-30
2023_24,23,8.0,2024-02-03
2023_24,24,7.0,2024-02-10
2023_24,25,9.0,2024-02-18
2023_24,26,7.0,2024-02-24
2023_24,27,7.0,2024-03-02
2023_24,28,9.0,2024-03-10
2023_24,29,8.0,2024-03-31
2023_24,30,9.0,2024-04-03
2023_24,31,9.0,2024-04-06
2023_24,32,10.0,2024-04-13
2023_24,33,10.0,2024-04-25
2023_24,34,11.0,2024-04-28
2023_24,35,12.0,2024-05-05
2023_24,36,11.0,2024-05-11
2023_24,37,10.0,2024-05-15
2023_24,38,10.0,2024-05-19
