"Match","Position","Points"
"1","4","3"
"2","12","3"
"3","10","4"
"4","7","7"
"5","7","8"
"6","9","9"
"7","6","12"
"8","7","13"
"9","9","13"
"10","7","16"
"11","7","19"
"12","7","22"
"13","7","22"
"14","6","25"
"15","7","25"
"16","7","28"
"17","4","31"
"18","5","32"
"19","7","32"
"20","7","33"
"21","7","34"
"22","7","34"
"23","7","34"
"24","8","34"
"25","7","35"
"26","7","36"
"27","7","36"
"28","7","37"
"29","7","40"
"30","7","43"
"31","7","46"
"32","7","49"
"33","7","52"
"34","7","52"
"35","7","53"
"36","7","54"
"37","7","54"
"38","7","54"
