Season,Match,Position,Date
2017_18,1,0.0,2017-08-12
2017_18,2,4.0,2017-08-19
2017_18,3,12.0,2017-08-27
2017_18,4,10.0,2017-09-10
2017_18,5,7.0,2017-09-16
2017_18,6,7.0,2017-09-23
2017_18,7,9.0,2017-10-01
2017_18,8,6.0,2017-10-14
2017_18,9,7.0,2017-10-21
2017_18,10,9.0,2017-10-30
2017_18,11,7.0,2017-11-04
2017_18,12,7.0,2017-11-18
2017_18,13,7.0,2017-11-26
2017_18,14,7.0,2017-11-29
2017_18,15,6.0,2017-12-02
2017_18,16,7.0,2017-12-09
2017_18,17,7.0,2017-12-12
2017_18,18,4.0,2017-12-16
2017_18,19,5.0,2017-12-23
2017_18,20,7.0,2017-12-26
2017_18,21,7.0,2017-12-30
2017_18,22,7.0,2018-01-01
2017_18,23,7.0,2018-01-13
2017_18,24,7.0,2018-01-20
2017_18,25,8.0,2018-01-31
2017_18,26,7.0,2018-02-03
2017_18,27,7.0,2018-02-10
2017_18,28,7.0,2018-02-24
2017_18,29,7.0,2018-03-03
2017_18,30,7.0,2018-03-10
2017_18,31,7.0,2018-03-31
2017_18,32,7.0,2018-04-07
2017_18,33,7.0,2018-04-14
2017_18,34,7.0,2018-04-19
2017_18,35,7.0,2018-04-22
2017_18,36,7.0,2018-04-28
2017_18,37,7.0,2018-05-06
2017_18,38,7.0,2018-05-13
2018_19,1,7.0,2018-08-12
2018_19,2,11.0,2018-08-19
2018_19,3,15.0,2018-08-26
2018_19,4,18.0,2018-09-02
2018_19,5,19.0,2018-09-16
2018_19,6,20.0,2018-09-22
2018_19,7,16.0,2018-09-30
2018_19,8,12.0,2018-10-06
2018_19,9,12.0,2018-10-20
2018_19,10,13.0,2018-10-28
2018_19,11,15.0,2018-11-03
2018_19,12,15.0,2018-11-10
2018_19,13,15.0,2018-11-26
2018_19,14,17.0,2018-12-01
2018_19,15,19.0,2018-12-05
2018_19,16,19.0,2018-12-08
2018_19,17,17.0,2018-12-15
2018_19,18,17.0,2018-12-22
2018_19,19,18.0,2018-12-26
2018_19,20,18.0,2018-12-30
2018_19,21,18.0,2019-01-02
2018_19,22,16.0,2019-01-12
2018_19,23,15.0,2019-01-19
2018_19,24,16.0,2019-01-29
2018_19,25,15.0,2019-02-02
2018_19,26,17.0,2019-02-09
2018_19,27,15.0,2019-02-23
2018_19,28,14.0,2019-02-26
2018_19,29,15.0,2019-03-02
2018_19,30,16.0,2019-03-10
2018_19,31,17.0,2019-03-16
2018_19,32,17.0,2019-03-30
2018_19,33,17.0,2019-04-06
2018_19,34,14.0,2019-04-13
2018_19,35,14.0,2019-04-22
2018_19,36,15.0,2019-04-28
2018_19,37,15.0,2019-05-03
2018_19,38,15.0,2019-05-12
2023_24,1,15.0,2023-08-11
2023_24,2,20.0,2023-08-27
2023_24,3,18.0,2023-09-02
2023_24,4,20.0,2023-09-18
2023_24,5,19.0,2023-09-23
2023_24,6,20.0,2023-09-30
2023_24,7,19.0,2023-10-03
2023_24,8,18.0,2023-10-07
2023_24,9,18.0,2023-10-21
2023_24,10,18.0,2023-10-28
2023_24,11,19.0,2023-11-04
2023_24,12,19.0,2023-11-11
2023_24,13,19.0,2023-11-25
2023_24,14,20.0,2023-12-02
2023_24,15,19.0,2023-12-05
2023_24,16,19.0,2023-12-09
2023_24,17,19.0,2023-12-16
2023_24,18,19.0,2023-12-23
2023_24,19,19.0,2023-12-26
2023_24,20,19.0,2023-12-30
2023_24,21,19.0,2024-01-12
2023_24,22,19.0,2024-01-31
2023_24,23,19.0,2024-02-03
2023_24,24,19.0,2024-02-10
2023_24,25,19.0,2024-02-17
2023_24,26,19.0,2024-02-24
2023_24,27,19.0,2024-03-03
2023_24,28,19.0,2024-03-10
2023_24,29,19.0,2024-03-16
2023_24,30,19.0,2024-03-30
2023_24,31,19.0,2024-04-02
2023_24,32,19.0,2024-04-06
2023_24,33,19.0,2024-04-13
2023_24,34,19.0,2024-04-20
2023_24,35,19.0,2024-04-27
2023_24,36,19.0,2024-05-04
2023_24,37,19.0,2024-05-11
2023_24,38,19.0,2024-05-19
