"Match","Position","Points"
"1","18","0"
"2","15","1"
"3","14","2"
"4","16","2"
"5","16","2"
"6","19","2"
"7","19","2"
"8","20","2"
"9","17","5"
"10","17","5"
"11","18","5"
"12","18","8"
"13","18","8"
"14","15","11"
"15","16","11"
"16","14","14"
"17","16","14"
"18","17","14"
"19","17","15"
"20","16","18"
"21","16","18"
"22","17","19"
"23","18","19"
"24","18","19"
"25","18","22"
"26","16","25"
"27","17","25"
"28","17","25"
"29","18","25"
"30","18","28"
"31","18","28"
"32","18","28"
"33","18","28"
"34","18","31"
"35","18","31"
"36","18","31"
"37","18","31"
"38","18","34"
