Season,Match,Position,Date
2018_19,1,0.0,2018-08-11
2018_19,2,18.0,2018-08-18
2018_19,3,15.0,2018-08-25
2018_19,4,14.0,2018-09-02
2018_19,5,16.0,2018-09-15
2018_19,6,16.0,2018-09-22
2018_19,7,19.0,2018-09-30
2018_19,8,19.0,2018-10-06
2018_19,9,20.0,2018-10-20
2018_19,10,17.0,2018-10-27
2018_19,11,17.0,2018-11-03
2018_19,12,18.0,2018-11-10
2018_19,13,18.0,2018-11-24
2018_19,14,18.0,2018-11-30
2018_19,15,15.0,2018-12-04
2018_19,16,16.0,2018-12-08
2018_19,17,14.0,2018-12-15
2018_19,18,16.0,2018-12-22
2018_19,19,17.0,2018-12-26
2018_19,20,17.0,2018-12-29
2018_19,21,16.0,2019-01-01
2018_19,22,16.0,2019-01-12
2018_19,23,17.0,2019-01-19
2018_19,24,18.0,2019-01-29
2018_19,25,18.0,2019-02-02
2018_19,26,18.0,2019-02-09
2018_19,27,16.0,2019-02-22
2018_19,28,17.0,2019-02-26
2018_19,29,17.0,2019-03-02
2018_19,30,18.0,2019-03-09
2018_19,31,18.0,2019-03-31
2018_19,32,18.0,2019-04-03
2018_19,33,18.0,2019-04-13
2018_19,34,18.0,2019-04-16
2018_19,35,18.0,2019-04-21
2018_19,36,18.0,2019-04-27
2018_19,37,18.0,2019-05-04
2018_19,38,18.0,2019-05-12
