"Match","Position","Points"
"1","6","3"
"2","7","4"
"3","12","4"
"4","6","7"
"5","8","7"
"6","5","10"
"7","5","13"
"8","4","16"
"9","4","19"
"10","4","20"
"11","4","21"
"12","5","21"
"13","7","21"
"14","8","21"
"15","8","24"
"16","8","25"
"17","10","25"
"18","10","25"
"19","10","28"
"20","10","29"
"21","9","30"
"22","9","31"
"23","10","31"
"24","10","31"
"25","10","34"
"26","10","37"
"27","10","38"
"28","11","38"
"29","11","39"
"30","11","39"
"31","11","39"
"32","11","39"
"33","12","39"
"34","11","42"
"35","11","43"
"36","12","43"
"37","12","43"
"38","12","44"
