Season,Match,Position,Date
2017_18,1,0.0,2017-08-12
2017_18,2,16.0,2017-08-20
2017_18,3,12.0,2017-08-27
2017_18,4,6.0,2017-09-09
2017_18,5,3.0,2017-09-17
2017_18,6,3.0,2017-09-23
2017_18,7,3.0,2017-09-30
2017_18,8,4.0,2017-10-14
2017_18,9,5.0,2017-10-21
2017_18,10,4.0,2017-10-28
2017_18,11,4.0,2017-11-05
2017_18,12,4.0,2017-11-18
2017_18,13,3.0,2017-11-25
2017_18,14,3.0,2017-11-29
2017_18,15,3.0,2017-12-02
2017_18,16,3.0,2017-12-09
2017_18,17,3.0,2017-12-12
2017_18,18,3.0,2017-12-16
2017_18,19,3.0,2017-12-23
2017_18,20,3.0,2017-12-26
2017_18,21,3.0,2017-12-30
2017_18,22,2.0,2018-01-03
2017_18,23,3.0,2018-01-13
2017_18,24,3.0,2018-01-20
2017_18,25,3.0,2018-01-31
2017_18,26,4.0,2018-02-05
2017_18,27,4.0,2018-02-12
2017_18,28,4.0,2018-02-25
2017_18,29,5.0,2018-03-04
2017_18,30,5.0,2018-03-10
2017_18,31,5.0,2018-04-01
2017_18,32,5.0,2018-04-08
2017_18,33,5.0,2018-04-14
2017_18,34,5.0,2018-04-19
2017_18,35,5.0,2018-04-28
2017_18,36,5.0,2018-05-06
2017_18,37,5.0,2018-05-09
2017_18,38,5.0,2018-05-13
2018_19,1,5.0,2018-08-11
2018_19,2,1.0,2018-08-18
2018_19,3,1.0,2018-08-26
2018_19,4,2.0,2018-09-01
2018_19,5,2.0,2018-09-15
2018_19,6,1.0,2018-09-23
2018_19,7,3.0,2018-09-29
2018_19,8,3.0,2018-10-07
2018_19,9,2.0,2018-10-20
2018_19,10,3.0,2018-10-28
2018_19,11,2.0,2018-11-04
2018_19,12,2.0,2018-11-11
2018_19,13,3.0,2018-11-24
2018_19,14,4.0,2018-12-02
2018_19,15,3.0,2018-12-05
2018_19,16,4.0,2018-12-08
2018_19,17,4.0,2018-12-16
2018_19,18,4.0,2018-12-22
2018_19,19,4.0,2018-12-26
2018_19,20,4.0,2018-12-30
2018_19,21,4.0,2019-01-02
2018_19,22,4.0,2019-01-12
2018_19,23,4.0,2019-01-19
2018_19,24,4.0,2019-01-30
2018_19,25,5.0,2019-02-02
2018_19,26,4.0,2019-02-10
2018_19,27,6.0,2019-02-27
2018_19,28,6.0,2019-03-03
2018_19,29,6.0,2019-03-10
2018_19,30,6.0,2019-03-17
2018_19,31,6.0,2019-03-31
2018_19,32,6.0,2019-04-03
2018_19,33,5.0,2019-04-08
2018_19,34,3.0,2019-04-14
2018_19,35,4.0,2019-04-22
2018_19,36,4.0,2019-04-28
2018_19,37,4.0,2019-05-05
2018_19,38,3.0,2019-05-12
2022_23,1,3.0,2022-08-06
2022_23,2,6.0,2022-08-14
2022_23,3,7.0,2022-08-21
2022_23,4,12.0,2022-08-27
2022_23,5,6.0,2022-08-30
2022_23,6,8.0,2022-09-03
2022_23,7,5.0,2022-10-01
2022_23,8,5.0,2022-10-08
2022_23,9,4.0,2022-10-16
2022_23,10,4.0,2022-10-19
2022_23,11,4.0,2022-10-22
2022_23,12,4.0,2022-10-29
2022_23,13,5.0,2022-11-06
2022_23,14,7.0,2022-11-12
2022_23,15,8.0,2022-12-27
2022_23,16,8.0,2023-01-01
2022_23,17,8.0,2023-01-05
2022_23,18,10.0,2023-01-12
2022_23,19,10.0,2023-01-15
2022_23,20,10.0,2023-01-21
2022_23,21,10.0,2023-02-03
2022_23,22,9.0,2023-02-11
2022_23,23,9.0,2023-02-18
2022_23,24,10.0,2023-02-26
2022_23,25,10.0,2023-03-04
2022_23,26,10.0,2023-03-11
2022_23,27,10.0,2023-03-18
2022_23,28,10.0,2023-04-01
2022_23,29,11.0,2023-04-04
2022_23,30,11.0,2023-04-08
2022_23,31,11.0,2023-04-15
2022_23,32,11.0,2023-04-26
2022_23,33,11.0,2023-05-02
2022_23,34,12.0,2023-05-06
2022_23,35,11.0,2023-05-13
2022_23,36,11.0,2023-05-21
2022_23,37,12.0,2023-05-25
2022_23,38,12.0,2023-05-28
2023_24,1,12.0,2023-08-13
2023_24,2,10.0,2023-08-20
2023_24,3,15.0,2023-08-25
2023_24,4,8.0,2023-09-02
2023_24,5,11.0,2023-09-17
2023_24,6,14.0,2023-09-24
2023_24,7,14.0,2023-10-02
2023_24,8,11.0,2023-10-07
2023_24,9,11.0,2023-10-21
2023_24,10,10.0,2023-10-28
2023_24,11,11.0,2023-11-06
2023_24,12,10.0,2023-11-12
2023_24,13,10.0,2023-11-25
2023_24,14,10.0,2023-12-03
2023_24,15,10.0,2023-12-06
2023_24,16,10.0,2023-12-10
2023_24,17,13.0,2023-12-16
2023_24,18,11.0,2023-12-24
2023_24,19,11.0,2023-12-27
2023_24,20,11.0,2023-12-30
2023_24,21,10.0,2024-01-13
2023_24,22,8.0,2024-01-31
2023_24,23,10.0,2024-02-04
2023_24,24,11.0,2024-02-12
2023_24,25,10.0,2024-02-17
2023_24,26,10.0,2024-03-02
2023_24,27,11.0,2024-03-11
2023_24,28,11.0,2024-03-30
2023_24,29,11.0,2024-04-04
2023_24,30,10.0,2024-04-07
2023_24,31,9.0,2024-04-15
2023_24,32,9.0,2024-04-23
2023_24,33,9.0,2024-04-27
2023_24,34,9.0,2024-05-02
2023_24,35,8.0,2024-05-05
2023_24,36,7.0,2024-05-11
2023_24,37,7.0,2024-05-15
2023_24,38,6.0,2024-05-19
