"Match","Position","Points"
"1","3","3"
"2","10","3"
"3","11","3"
"4","15","3"
"5","11","6"
"6","11","7"
"7","13","7"
"8","14","7"
"9","15","7"
"10","14","8"
"11","14","8"
"12","16","8"
"13","15","9"
"14","14","12"
"15","15","12"
"16","16","12"
"17","15","15"
"18","14","18"
"19","14","19"
"20","14","19"
"21","14","22"
"22","14","22"
"23","14","22"
"24","15","23"
"25","14","26"
"26","13","27"
"27","13","30"
"28","14","30"
"29","13","33"
"30","14","33"
"31","13","36"
"32","13","36"
"33","12","39"
"34","13","39"
"35","12","42"
"36","12","43"
"37","12","46"
"38","12","49"
