Season,Match,Position,Date
2017_18,1,0.0,2017-08-12
2017_18,2,20.0,2017-08-19
2017_18,3,19.0,2017-08-26
2017_18,4,19.0,2017-09-10
2017_18,5,19.0,2017-09-16
2017_18,6,20.0,2017-09-23
2017_18,7,20.0,2017-09-30
2017_18,8,20.0,2017-10-14
2017_18,9,20.0,2017-10-21
2017_18,10,20.0,2017-10-28
2017_18,11,20.0,2017-11-05
2017_18,12,20.0,2017-11-18
2017_18,13,20.0,2017-11-25
2017_18,14,20.0,2017-11-28
2017_18,15,20.0,2017-12-02
2017_18,16,18.0,2017-12-09
2017_18,17,20.0,2017-12-12
2017_18,18,17.0,2017-12-16
2017_18,19,14.0,2017-12-23
2017_18,20,16.0,2017-12-28
2017_18,21,16.0,2017-12-31
2017_18,22,17.0,2018-01-02
2017_18,23,14.0,2018-01-13
2017_18,24,12.0,2018-01-20
2017_18,25,13.0,2018-01-30
2017_18,26,12.0,2018-02-04
2017_18,27,14.0,2018-02-10
2017_18,28,14.0,2018-02-25
2017_18,29,17.0,2018-03-05
2017_18,30,18.0,2018-03-10
2017_18,31,18.0,2018-03-17
2017_18,32,16.0,2018-03-31
2017_18,33,17.0,2018-04-07
2017_18,34,17.0,2018-04-14
2017_18,35,16.0,2018-04-21
2017_18,36,15.0,2018-04-28
2017_18,37,11.0,2018-05-05
2017_18,38,11.0,2018-05-13
2018_19,1,11.0,2018-08-11
2018_19,2,3.0,2018-08-20
2018_19,3,10.0,2018-08-26
2018_19,4,11.0,2018-09-01
2018_19,5,15.0,2018-09-15
2018_19,6,11.0,2018-09-22
2018_19,7,11.0,2018-10-01
2018_19,8,13.0,2018-10-06
2018_19,9,14.0,2018-10-21
2018_19,10,15.0,2018-10-28
2018_19,11,14.0,2018-11-04
2018_19,12,14.0,2018-11-10
2018_19,13,16.0,2018-11-24
2018_19,14,15.0,2018-12-01
2018_19,15,14.0,2018-12-04
2018_19,16,15.0,2018-12-08
2018_19,17,16.0,2018-12-15
2018_19,18,15.0,2018-12-22
2018_19,19,14.0,2018-12-26
2018_19,20,14.0,2018-12-30
2018_19,21,14.0,2019-01-02
2018_19,22,14.0,2019-01-12
2018_19,23,14.0,2019-01-19
2018_19,24,14.0,2019-01-30
2018_19,25,15.0,2019-02-02
2018_19,26,14.0,2019-02-09
2018_19,27,13.0,2019-02-23
2018_19,28,13.0,2019-02-27
2018_19,29,14.0,2019-03-02
2018_19,30,13.0,2019-03-09
2018_19,31,14.0,2019-03-30
2018_19,32,13.0,2019-04-03
2018_19,33,13.0,2019-04-06
2018_19,34,12.0,2019-04-14
2018_19,35,13.0,2019-04-21
2018_19,36,12.0,2019-04-27
2018_19,37,12.0,2019-05-04
2018_19,38,12.0,2019-05-12
2022_23,1,12.0,2022-08-05
2022_23,2,20.0,2022-08-15
2022_23,3,16.0,2022-08-20
2022_23,4,10.0,2022-08-27
2022_23,5,13.0,2022-08-30
2022_23,6,13.0,2022-09-03
2022_23,7,15.0,2022-10-01
2022_23,8,17.0,2022-10-09
2022_23,9,15.0,2022-10-15
2022_23,10,12.0,2022-10-18
2022_23,11,10.0,2022-10-22
2022_23,12,12.0,2022-10-29
2022_23,13,10.0,2022-11-06
2022_23,14,10.0,2022-11-12
2022_23,15,11.0,2022-12-26
2022_23,16,11.0,2022-12-31
2022_23,17,11.0,2023-01-04
2022_23,18,12.0,2023-01-15
2022_23,19,12.0,2023-01-18
2022_23,20,12.0,2023-01-21
2022_23,21,12.0,2023-02-04
2022_23,22,12.0,2023-02-11
2022_23,23,12.0,2023-02-18
2022_23,24,12.0,2023-02-25
2022_23,25,12.0,2023-03-04
2022_23,26,12.0,2023-03-11
2022_23,27,12.0,2023-03-15
2022_23,28,12.0,2023-03-19
2022_23,29,12.0,2023-04-01
2022_23,30,12.0,2023-04-09
2022_23,31,12.0,2023-04-15
2022_23,32,12.0,2023-04-22
2022_23,33,12.0,2023-04-25
2022_23,34,12.0,2023-04-29
2022_23,35,11.0,2023-05-06
2022_23,36,12.0,2023-05-13
2022_23,37,12.0,2023-05-20
2022_23,38,11.0,2023-05-28
2023_24,1,11.0,2023-08-12
2023_24,2,5.0,2023-08-21
2023_24,3,11.0,2023-08-26
2023_24,4,10.0,2023-09-03
2023_24,5,7.0,2023-09-16
2023_24,6,8.0,2023-09-23
2023_24,7,9.0,2023-09-30
2023_24,8,9.0,2023-10-07
2023_24,9,9.0,2023-10-21
2023_24,10,11.0,2023-10-27
2023_24,11,11.0,2023-11-04
2023_24,12,10.0,2023-11-11
2023_24,13,12.0,2023-11-25
2023_24,14,13.0,2023-12-03
2023_24,15,13.0,2023-12-06
2023_24,16,15.0,2023-12-09
2023_24,17,16.0,2023-12-16
2023_24,18,16.0,2023-12-21
2023_24,19,16.0,2023-12-27
2023_24,20,16.0,2023-12-30
2023_24,21,14.0,2024-01-20
2023_24,22,16.0,2024-01-30
2023_24,23,15.0,2024-02-03
2023_24,24,15.0,2024-02-12
2023_24,25,16.0,2024-02-19
2023_24,26,16.0,2024-02-24
2023_24,27,14.0,2024-03-02
2023_24,28,15.0,2024-03-09
2023_24,29,15.0,2024-03-30
2023_24,30,15.0,2024-04-02
2023_24,31,15.0,2024-04-06
2023_24,32,15.0,2024-04-14
2023_24,33,15.0,2024-04-21
2023_24,34,15.0,2024-04-24
2023_24,35,15.0,2024-04-27
2023_24,36,15.0,2024-05-06
2023_24,37,15.0,2024-05-11
2023_24,38,13.0,2024-05-19
