"Match","Position","Points"
"1","7","1"
"2","4","4"
"3","8","5"
"4","7","6"
"5","10","6"
"6","12","6"
"7","11","9"
"8","11","12"
"9","8","15"
"10","9","15"
"11","9","18"
"12","9","19"
"13","6","22"
"14","6","22"
"15","6","23"
"16","7","24"
"17","8","24"
"18","11","24"
"19","8","27"
"20","10","27"
"21","10","27"
"22","10","30"
"23","11","30"
"24","8","33"
"25","9","33"
"26","9","33"
"27","9","33"
"28","9","36"
"29","10","37"
"30","11","37"
"31","11","40"
"32","9","43"
"33","9","46"
"34","9","46"
"35","7","49"
"36","8","50"
"37","8","53"
"38","8","54"
