Season,Match,Position,Date
2017_18,1,0.0,2017-08-12
2017_18,2,5.0,2017-08-21
2017_18,3,8.0,2017-08-27
2017_18,4,12.0,2017-09-09
2017_18,5,15.0,2017-09-17
2017_18,6,18.0,2017-09-23
2017_18,7,13.0,2017-10-01
2017_18,8,16.0,2017-10-15
2017_18,9,16.0,2017-10-22
2017_18,10,18.0,2017-10-29
2017_18,11,18.0,2017-11-05
2017_18,12,15.0,2017-11-18
2017_18,13,16.0,2017-11-26
2017_18,14,16.0,2017-11-29
2017_18,15,13.0,2017-12-02
2017_18,16,10.0,2017-12-10
2017_18,17,10.0,2017-12-13
2017_18,18,10.0,2017-12-18
2017_18,19,9.0,2017-12-23
2017_18,20,9.0,2017-12-26
2017_18,21,9.0,2017-12-30
2017_18,22,9.0,2018-01-01
2017_18,23,9.0,2018-01-13
2017_18,24,9.0,2018-01-20
2017_18,25,9.0,2018-01-31
2017_18,26,9.0,2018-02-03
2017_18,27,10.0,2018-02-10
2017_18,28,9.0,2018-02-24
2017_18,29,9.0,2018-03-03
2017_18,30,10.0,2018-03-10
2017_18,31,9.0,2018-03-17
2017_18,32,9.0,2018-03-31
2017_18,33,9.0,2018-04-07
2017_18,34,9.0,2018-04-14
2017_18,35,9.0,2018-04-23
2017_18,36,8.0,2018-04-28
2017_18,37,8.0,2018-05-05
2017_18,38,8.0,2018-05-13
2018_19,1,8.0,2018-08-11
2018_19,2,7.0,2018-08-18
2018_19,3,4.0,2018-08-25
2018_19,4,8.0,2018-09-01
2018_19,5,7.0,2018-09-16
2018_19,6,10.0,2018-09-23
2018_19,7,12.0,2018-09-29
2018_19,8,11.0,2018-10-06
2018_19,9,11.0,2018-10-21
2018_19,10,8.0,2018-10-28
2018_19,11,9.0,2018-11-03
2018_19,12,9.0,2018-11-11
2018_19,13,9.0,2018-11-24
2018_19,14,6.0,2018-12-02
2018_19,15,6.0,2018-12-05
2018_19,16,6.0,2018-12-10
2018_19,17,7.0,2018-12-15
2018_19,18,8.0,2018-12-23
2018_19,19,11.0,2018-12-26
2018_19,20,8.0,2018-12-29
2018_19,21,10.0,2019-01-01
2018_19,22,10.0,2019-01-13
2018_19,23,10.0,2019-01-19
2018_19,24,11.0,2019-01-29
2018_19,25,8.0,2019-02-02
2018_19,26,9.0,2019-02-06
2018_19,27,9.0,2019-02-09
2018_19,28,9.0,2019-02-26
2018_19,29,9.0,2019-03-03
2018_19,30,10.0,2019-03-09
2018_19,31,11.0,2019-03-17
2018_19,32,11.0,2019-03-30
2018_19,33,9.0,2019-04-07
2018_19,34,9.0,2019-04-13
2018_19,35,9.0,2019-04-21
2018_19,36,7.0,2019-04-27
2018_19,37,8.0,2019-05-03
2018_19,38,8.0,2019-05-12
2022_23,1,8.0,2022-08-06
2022_23,2,16.0,2022-08-13
2022_23,3,16.0,2022-08-20
2022_23,4,16.0,2022-08-27
2022_23,5,17.0,2022-08-30
2022_23,6,15.0,2022-09-03
2022_23,7,16.0,2022-09-18
2022_23,8,13.0,2022-10-01
2022_23,9,11.0,2022-10-09
2022_23,10,12.0,2022-10-15
2022_23,11,14.0,2022-10-19
2022_23,12,15.0,2022-10-22
2022_23,13,11.0,2022-10-29
2022_23,14,12.0,2022-11-05
2022_23,15,15.0,2022-11-12
2022_23,16,17.0,2022-12-26
2022_23,17,17.0,2022-12-31
2022_23,18,16.0,2023-01-03
2022_23,19,16.0,2023-01-14
2022_23,20,19.0,2023-01-21
2022_23,21,19.0,2023-02-04
2022_23,22,18.0,2023-02-13
2022_23,23,18.0,2023-02-18
2022_23,24,16.0,2023-02-25
2022_23,25,18.0,2023-03-01
2022_23,26,18.0,2023-03-05
2022_23,27,18.0,2023-03-11
2022_23,28,15.0,2023-03-18
2022_23,29,15.0,2023-04-03
2022_23,30,15.0,2023-04-08
2022_23,31,17.0,2023-04-15
2022_23,32,17.0,2023-04-22
2022_23,33,18.0,2023-04-27
2022_23,34,19.0,2023-05-01
2022_23,35,19.0,2023-05-08
2022_23,36,17.0,2023-05-14
2022_23,37,17.0,2023-05-20
2022_23,38,17.0,2023-05-28
2023_24,1,17.0,2023-08-12
2023_24,2,16.0,2023-08-20
2023_24,3,20.0,2023-08-26
2023_24,4,20.0,2023-09-02
2023_24,5,18.0,2023-09-17
2023_24,6,18.0,2023-09-23
2023_24,7,15.0,2023-09-30
2023_24,8,16.0,2023-10-07
2023_24,9,15.0,2023-10-21
2023_24,10,16.0,2023-10-29
2023_24,11,15.0,2023-11-04
2023_24,12,15.0,2023-11-11
2023_24,13,14.0,2023-11-26
2023_24,14,14.0,2023-12-02
2023_24,15,11.0,2023-12-07
2023_24,16,10.0,2023-12-10
2023_24,17,10.0,2023-12-16
2023_24,18,9.0,2023-12-23
2023_24,19,10.0,2023-12-27
2023_24,20,10.0,2023-12-30
2023_24,21,12.0,2024-01-14
2023_24,22,12.0,2024-01-30
2023_24,23,12.0,2024-02-03
2023_24,24,12.0,2024-02-10
2023_24,25,13.0,2024-02-19
2023_24,26,12.0,2024-02-24
2023_24,27,13.0,2024-03-02
2023_24,28,13.0,2024-03-09
2023_24,29,14.0,2024-03-30
2023_24,30,14.0,2024-04-02
2023_24,31,14.0,2024-04-06
2023_24,32,14.0,2024-04-15
2023_24,33,14.0,2024-04-21
2023_24,34,14.0,2024-04-24
2023_24,35,14.0,2024-04-27
2023_24,36,13.0,2024-05-03
2023_24,37,12.0,2024-05-11
2023_24,38,11.0,2024-05-19
