"Match","Position","Points"
"1","19","0"
"2","19","0"
"3","12","3"
"4","11","4"
"5","15","4"
"6","15","5"
"7","16","5"
"8","17","5"
"9","18","5"
"10","18","5"
"11","20","5"
"12","20","5"
"13","19","8"
"14","20","8"
"15","20","9"
"16","20","9"
"17","20","9"
"18","20","10"
"19","19","11"
"20","18","14"
"21","19","14"
"22","19","14"
"23","19","14"
"24","19","17"
"25","19","17"
"26","19","17"
"27","19","17"
"28","19","17"
"29","19","17"
"30","19","17"
"31","19","17"
"32","19","17"
"33","19","17"
"34","19","20"
"35","19","23"
"36","19","26"
"37","19","26"
"38","19","26"
