"Match","Position","Points"
"1","1","3"
"2","2","6"
"3","2","7"
"4","6","7"
"5","6","8"
"6","8","9"
"7","11","9"
"8","11","9"
"9","11","12"
"10","11","12"
"11","10","15"
"12","10","15"
"13","11","15"
"14","14","15"
"15","15","15"
"16","11","18"
"17","12","18"
"18","11","21"
"19","11","22"
"20","11","23"
"21","11","24"
"22","11","24"
"23","13","24"
"24","14","24"
"25","14","24"
"26","19","24"
"27","17","27"
"28","14","30"
"29","15","30"
"30","15","31"
"31","15","31"
"32","16","31"
"33","16","32"
"34","14","35"
"35","16","35"
"36","16","36"
"37","16","37"
"38","16","37"
