Season,Match,Position,Date
2017_18,1,0.0,2017-08-12
2017_18,2,1.0,2017-08-20
2017_18,3,2.0,2017-08-26
2017_18,4,2.0,2017-09-11
2017_18,5,6.0,2017-09-16
2017_18,6,6.0,2017-09-23
2017_18,7,8.0,2017-09-30
2017_18,8,11.0,2017-10-14
2017_18,9,11.0,2017-10-21
2017_18,10,11.0,2017-10-28
2017_18,11,11.0,2017-11-04
2017_18,12,10.0,2017-11-18
2017_18,13,10.0,2017-11-26
2017_18,14,11.0,2017-11-29
2017_18,15,14.0,2017-12-02
2017_18,16,15.0,2017-12-09
2017_18,17,11.0,2017-12-12
2017_18,18,12.0,2017-12-16
2017_18,19,11.0,2017-12-23
2017_18,20,11.0,2017-12-26
2017_18,21,11.0,2017-12-30
2017_18,22,11.0,2018-01-01
2017_18,23,11.0,2018-01-13
2017_18,24,13.0,2018-01-20
2017_18,25,14.0,2018-01-30
2017_18,26,14.0,2018-02-03
2017_18,27,19.0,2018-02-11
2017_18,28,17.0,2018-02-24
2017_18,29,14.0,2018-03-03
2017_18,30,15.0,2018-03-10
2017_18,31,15.0,2018-03-17
2017_18,32,15.0,2018-03-31
2017_18,33,16.0,2018-04-07
2017_18,34,16.0,2018-04-14
2017_18,35,14.0,2018-04-28
2017_18,36,16.0,2018-05-06
2017_18,37,16.0,2018-05-09
2017_18,38,16.0,2018-05-13
2018_19,1,16.0,2018-08-11
2018_19,2,20.0,2018-08-19
2018_19,3,20.0,2018-08-25
2018_19,4,18.0,2018-09-01
2018_19,5,17.0,2018-09-15
2018_19,6,17.0,2018-09-22
2018_19,7,20.0,2018-09-29
2018_19,8,20.0,2018-10-06
2018_19,9,18.0,2018-10-20
2018_19,10,19.0,2018-10-27
2018_19,11,20.0,2018-11-05
2018_19,12,18.0,2018-11-10
2018_19,13,19.0,2018-11-25
2018_19,14,14.0,2018-12-01
2018_19,15,17.0,2018-12-04
2018_19,16,17.0,2018-12-08
2018_19,17,18.0,2018-12-15
2018_19,18,18.0,2018-12-22
2018_19,19,19.0,2018-12-26
2018_19,20,20.0,2018-12-29
2018_19,21,20.0,2019-01-02
2018_19,22,20.0,2019-01-12
2018_19,23,20.0,2019-01-20
2018_19,24,20.0,2019-01-29
2018_19,25,20.0,2019-02-02
2018_19,26,20.0,2019-02-09
2018_19,27,20.0,2019-02-23
2018_19,28,20.0,2019-02-26
2018_19,29,20.0,2019-03-02
2018_19,30,20.0,2019-03-09
2018_19,31,20.0,2019-03-16
2018_19,32,20.0,2019-03-30
2018_19,33,20.0,2019-04-06
2018_19,34,20.0,2019-04-13
2018_19,35,20.0,2019-04-20
2018_19,36,20.0,2019-04-26
2018_19,37,20.0,2019-05-05
2018_19,38,20.0,2019-05-12
