"Match","Position","Points"
"1","5","3"
"2","5","4"
"3","3","7"
"4","5","7"
"5","5","8"
"6","9","8"
"7","12","9"
"8","14","9"
"9","15","9"
"10","16","9"
"11","18","9"
"12","15","12"
"13","12","15"
"14","14","15"
"15","15","15"
"16","14","16"
"17","14","17"
"18","14","17"
"19","15","18"
"20","17","18"
"21","16","19"
"22","17","19"
"23","19","19"
"24","17","22"
"25","17","22"
"26","19","23"
"27","14","26"
"28","16","26"
"29","13","29"
"30","16","29"
"31","16","29"
"32","16","29"
"33","16","30"
"34","16","30"
"35","17","30"
"36","18","31"
"37","18","31"
"38","19","31"
