Season,Match,Position,Date
2022_23,1,0.0,2022-08-06
2022_23,2,5.0,2022-08-13
2022_23,3,5.0,2022-08-21
2022_23,4,3.0,2022-08-27
2022_23,5,5.0,2022-08-30
2022_23,6,5.0,2022-09-03
2022_23,7,9.0,2022-10-02
2022_23,8,12.0,2022-10-09
2022_23,9,14.0,2022-10-16
2022_23,10,15.0,2022-10-20
2022_23,11,16.0,2022-10-23
2022_23,12,18.0,2022-10-29
2022_23,13,15.0,2022-11-05
2022_23,14,12.0,2022-11-12
2022_23,15,14.0,2022-12-28
2022_23,16,15.0,2022-12-31
2022_23,17,14.0,2023-01-04
2022_23,18,14.0,2023-01-13
2022_23,19,14.0,2023-01-22
2022_23,20,15.0,2023-02-05
2022_23,21,17.0,2023-02-08
2022_23,22,16.0,2023-02-12
2022_23,23,17.0,2023-02-18
2022_23,24,19.0,2023-02-25
2022_23,25,17.0,2023-03-04
2022_23,26,17.0,2023-03-11
2022_23,27,19.0,2023-03-18
2022_23,28,14.0,2023-04-01
2022_23,29,16.0,2023-04-04
2022_23,30,13.0,2023-04-09
2022_23,31,16.0,2023-04-17
2022_23,32,16.0,2023-04-22
2022_23,33,16.0,2023-04-25
2022_23,34,16.0,2023-04-30
2022_23,35,16.0,2023-05-06
2022_23,36,17.0,2023-05-13
2022_23,37,18.0,2023-05-21
2022_23,38,18.0,2023-05-28
