"Match","Position","Points"
"1","20","0"
"2","9","3"
"3","7","6"
"4","8","6"
"5","10","6"
"6","8","9"
"7","7","12"
"8","10","12"
"9","11","12"
"10","12","13"
"11","10","16"
"12","10","17"
"13","10","18"
"14","8","21"
"15","9","22"
"16","9","22"
"17","12","22"
"18","9","25"
"19","7","28"
"20","8","28"
"21","7","31"
"22","8","31"
"23","9","31"
"24","11","32"
"25","11","32"
"26","12","32"
"27","12","32"
"28","11","35"
"29","11","35"
"30","10","38"
"31","10","41"
"32","8","44"
"33","7","47"
"34","7","47"
"35","8","48"
"36","8","51"
"37","9","51"
"38","9","52"
