Season,Match,Position,Date
2017_18,1,0.0,2017-08-11
2017_18,2,20.0,2017-08-19
2017_18,3,9.0,2017-08-26
2017_18,4,16.0,2017-09-09
2017_18,5,17.0,2017-09-16
2017_18,6,15.0,2017-09-23
2017_18,7,16.0,2017-09-30
2017_18,8,17.0,2017-10-16
2017_18,9,18.0,2017-10-21
2017_18,10,14.0,2017-10-29
2017_18,11,11.0,2017-11-04
2017_18,12,12.0,2017-11-18
2017_18,13,12.0,2017-11-24
2017_18,14,11.0,2017-11-28
2017_18,15,9.0,2017-12-02
2017_18,16,9.0,2017-12-09
2017_18,17,8.0,2017-12-13
2017_18,18,8.0,2017-12-16
2017_18,19,8.0,2017-12-23
2017_18,20,8.0,2017-12-26
2017_18,21,8.0,2017-12-30
2017_18,22,8.0,2018-01-01
2017_18,23,8.0,2018-01-13
2017_18,24,8.0,2018-01-20
2017_18,25,7.0,2018-01-31
2017_18,26,8.0,2018-02-03
2017_18,27,8.0,2018-02-10
2017_18,28,8.0,2018-02-24
2017_18,29,8.0,2018-03-03
2017_18,30,8.0,2018-03-10
2017_18,31,8.0,2018-03-31
2017_18,32,8.0,2018-04-07
2017_18,33,8.0,2018-04-14
2017_18,34,8.0,2018-04-19
2017_18,35,8.0,2018-04-28
2017_18,36,9.0,2018-05-05
2017_18,37,9.0,2018-05-09
2017_18,38,9.0,2018-05-13
2018_19,1,9.0,2018-08-10
2018_19,2,20.0,2018-08-18
2018_19,3,9.0,2018-08-25
2018_19,4,7.0,2018-09-01
2018_19,5,8.0,2018-09-15
2018_19,6,10.0,2018-09-22
2018_19,7,8.0,2018-09-29
2018_19,8,7.0,2018-10-06
2018_19,9,10.0,2018-10-22
2018_19,10,11.0,2018-10-27
2018_19,11,12.0,2018-11-03
2018_19,12,10.0,2018-11-10
2018_19,13,10.0,2018-11-24
2018_19,14,10.0,2018-12-01
2018_19,15,8.0,2018-12-05
2018_19,16,9.0,2018-12-08
2018_19,17,9.0,2018-12-15
2018_19,18,12.0,2018-12-22
2018_19,19,9.0,2018-12-26
2018_19,20,7.0,2018-12-29
2018_19,21,8.0,2019-01-01
2018_19,22,7.0,2019-01-12
2018_19,23,8.0,2019-01-19
2018_19,24,9.0,2019-01-30
2018_19,25,11.0,2019-02-03
2018_19,26,11.0,2019-02-10
2018_19,27,12.0,2019-02-23
2018_19,28,12.0,2019-02-26
2018_19,29,11.0,2019-03-03
2018_19,30,11.0,2019-03-09
2018_19,31,10.0,2019-03-16
2018_19,32,10.0,2019-03-30
2018_19,33,8.0,2019-04-06
2018_19,34,7.0,2019-04-12
2018_19,35,7.0,2019-04-20
2018_19,36,8.0,2019-04-28
2018_19,37,8.0,2019-05-06
2018_19,38,9.0,2019-05-12
2022_23,1,9.0,2022-08-07
2022_23,2,11.0,2022-08-13
2022_23,3,14.0,2022-08-20
2022_23,4,18.0,2022-08-27
2022_23,5,19.0,2022-09-01
2022_23,6,20.0,2022-09-04
2022_23,7,20.0,2022-09-17
2022_23,8,20.0,2022-10-03
2022_23,9,19.0,2022-10-08
2022_23,10,19.0,2022-10-15
2022_23,11,19.0,2022-10-20
2022_23,12,19.0,2022-10-23
2022_23,13,16.0,2022-10-29
2022_23,14,18.0,2022-11-05
2022_23,15,13.0,2022-11-12
2022_23,16,12.0,2022-12-26
2022_23,17,13.0,2022-12-30
2022_23,18,13.0,2023-01-03
2022_23,19,13.0,2023-01-14
2022_23,20,15.0,2023-01-21
2022_23,21,14.0,2023-02-04
2022_23,22,13.0,2023-02-11
2022_23,23,13.0,2023-02-19
2022_23,24,14.0,2023-02-25
2022_23,25,14.0,2023-03-04
2022_23,26,15.0,2023-03-11
2022_23,27,16.0,2023-03-18
2022_23,28,17.0,2023-04-01
2022_23,29,18.0,2023-04-04
2022_23,30,19.0,2023-04-08
2022_23,31,19.0,2023-04-15
2022_23,32,19.0,2023-04-22
2022_23,33,17.0,2023-04-25
2022_23,34,17.0,2023-05-01
2022_23,35,16.0,2023-05-08
2022_23,36,18.0,2023-05-15
2022_23,37,19.0,2023-05-22
2022_23,38,18.0,2023-05-28
