"Match","Position","Points"
"1","8","1"
"2","12","2"
"3","16","2"
"4","8","5"
"5","5","8"
"6","6","9"
"7","9","10"
"8","10","10"
"9","8","13"
"10","7","16"
"11","7","16"
"12","9","16"
"13","8","19"
"14","6","22"
"15","6","25"
"16","6","28"
"17","6","28"
"18","9","28"
"19","8","29"
"20","10","29"
"21","9","32"
"22","8","35"
"23","7","36"
"24","6","39"
"25","5","42"
"26","5","42"
"27","8","42"
"28","8","43"
"29","8","44"
"30","8","47"
"31","7","50"
"32","6","53"
"33","5","56"
"34","5","59"
"35","5","62"
"36","5","65"
"37","5","66"
"38","5","67"
