Season,Match,Position,Date
2017_18,1,0.0,2017-08-12
2017_18,2,7.0,2017-08-19
2017_18,3,4.0,2017-08-27
2017_18,4,2.0,2017-09-09
2017_18,5,7.0,2017-09-16
2017_18,6,8.0,2017-09-23
2017_18,7,5.0,2017-10-01
2017_18,8,7.0,2017-10-14
2017_18,9,8.0,2017-10-22
2017_18,10,9.0,2017-10-28
2017_18,11,6.0,2017-11-04
2017_18,12,6.0,2017-11-18
2017_18,13,5.0,2017-11-25
2017_18,14,5.0,2017-11-29
2017_18,15,5.0,2017-12-02
2017_18,16,4.0,2017-12-10
2017_18,17,4.0,2017-12-13
2017_18,18,5.0,2017-12-17
2017_18,19,4.0,2017-12-22
2017_18,20,4.0,2017-12-26
2017_18,21,4.0,2017-12-30
2017_18,22,4.0,2018-01-01
2017_18,23,4.0,2018-01-14
2017_18,24,3.0,2018-01-22
2017_18,25,4.0,2018-01-30
2017_18,26,4.0,2018-02-04
2017_18,27,3.0,2018-02-11
2017_18,28,3.0,2018-02-24
2017_18,29,2.0,2018-03-03
2017_18,30,2.0,2018-03-10
2017_18,31,3.0,2018-03-17
2017_18,32,3.0,2018-03-31
2017_18,33,3.0,2018-04-07
2017_18,34,3.0,2018-04-14
2017_18,35,3.0,2018-04-21
2017_18,36,3.0,2018-04-28
2017_18,37,3.0,2018-05-06
2017_18,38,3.0,2018-05-13
2018_19,1,4.0,2018-08-12
2018_19,2,1.0,2018-08-20
2018_19,3,2.0,2018-08-25
2018_19,4,1.0,2018-09-01
2018_19,5,1.0,2018-09-15
2018_19,6,2.0,2018-09-22
2018_19,7,1.0,2018-09-29
2018_19,8,2.0,2018-10-07
2018_19,9,3.0,2018-10-20
2018_19,10,2.0,2018-10-27
2018_19,11,1.0,2018-11-03
2018_19,12,1.0,2018-11-11
2018_19,13,2.0,2018-11-24
2018_19,14,2.0,2018-12-02
2018_19,15,2.0,2018-12-05
2018_19,16,2.0,2018-12-08
2018_19,17,1.0,2018-12-16
2018_19,18,1.0,2018-12-21
2018_19,19,1.0,2018-12-26
2018_19,20,1.0,2018-12-29
2018_19,21,1.0,2019-01-03
2018_19,22,1.0,2019-01-12
2018_19,23,1.0,2019-01-19
2018_19,24,1.0,2019-01-30
2018_19,25,1.0,2019-02-04
2018_19,26,1.0,2019-02-09
2018_19,27,1.0,2019-02-24
2018_19,28,1.0,2019-02-27
2018_19,29,1.0,2019-03-03
2018_19,30,2.0,2019-03-10
2018_19,31,2.0,2019-03-17
2018_19,32,1.0,2019-03-31
2018_19,33,1.0,2019-04-05
2018_19,34,1.0,2019-04-14
2018_19,35,1.0,2019-04-21
2018_19,36,1.0,2019-04-26
2018_19,37,1.0,2019-05-04
2018_19,38,1.0,2019-05-12
2022_23,1,2.0,2022-08-06
2022_23,2,8.0,2022-08-15
2022_23,3,12.0,2022-08-22
2022_23,4,16.0,2022-08-27
2022_23,5,8.0,2022-08-31
2022_23,6,5.0,2022-09-03
2022_23,7,6.0,2022-10-01
2022_23,8,9.0,2022-10-09
2022_23,9,10.0,2022-10-16
2022_23,10,8.0,2022-10-19
2022_23,11,7.0,2022-10-22
2022_23,12,7.0,2022-10-29
2022_23,13,9.0,2022-11-06
2022_23,14,8.0,2022-11-12
2022_23,15,6.0,2022-12-26
2022_23,16,6.0,2022-12-30
2022_23,17,6.0,2023-01-02
2022_23,18,6.0,2023-01-14
2022_23,19,9.0,2023-01-21
2022_23,20,8.0,2023-02-04
2022_23,21,10.0,2023-02-13
2022_23,22,9.0,2023-02-18
2022_23,23,8.0,2023-02-25
2022_23,24,7.0,2023-03-01
2022_23,25,6.0,2023-03-05
2022_23,26,5.0,2023-03-11
2022_23,27,5.0,2023-04-01
2022_23,28,8.0,2023-04-04
2022_23,29,8.0,2023-04-09
2022_23,30,8.0,2023-04-17
2022_23,31,8.0,2023-04-22
2022_23,32,7.0,2023-04-26
2022_23,33,6.0,2023-04-30
2022_23,34,5.0,2023-05-03
2022_23,35,5.0,2023-05-06
2022_23,36,5.0,2023-05-15
2022_23,37,5.0,2023-05-20
2022_23,38,5.0,2023-05-28
2023_24,1,5.0,2023-08-13
2023_24,2,11.0,2023-08-19
2023_24,3,4.0,2023-08-27
2023_24,4,4.0,2023-09-03
2023_24,5,3.0,2023-09-16
2023_24,6,3.0,2023-09-24
2023_24,7,2.0,2023-09-30
2023_24,8,4.0,2023-10-08
2023_24,9,4.0,2023-10-21
2023_24,10,3.0,2023-10-29
2023_24,11,4.0,2023-11-05
2023_24,12,3.0,2023-11-12
2023_24,13,2.0,2023-11-25
2023_24,14,3.0,2023-12-03
2023_24,15,2.0,2023-12-06
2023_24,16,2.0,2023-12-09
2023_24,17,1.0,2023-12-17
2023_24,18,2.0,2023-12-23
2023_24,19,2.0,2023-12-26
2023_24,20,1.0,2024-01-01
2023_24,21,1.0,2024-01-21
2023_24,22,1.0,2024-01-31
2023_24,23,1.0,2024-02-04
2023_24,24,1.0,2024-02-10
2023_24,25,1.0,2024-02-17
2023_24,26,1.0,2024-02-21
2023_24,27,1.0,2024-03-02
2023_24,28,1.0,2024-03-10
2023_24,29,2.0,2024-03-31
2023_24,30,1.0,2024-04-04
2023_24,31,1.0,2024-04-07
2023_24,32,2.0,2024-04-14
2023_24,33,3.0,2024-04-21
2023_24,34,2.0,2024-04-24
2023_24,35,2.0,2024-04-27
2023_24,36,3.0,2024-05-05
2023_24,37,3.0,2024-05-13
2023_24,38,3.0,2024-05-19
