"Match","Position","Points"
"1","18","0"
"2","20","0"
"3","20","0"
"4","20","0"
"5","19","1"
"6","17","4"
"7","17","4"
"8","17","4"
"9","17","5"
"10","18","5"
"11","17","6"
"12","18","6"
"13","18","9"
"14","18","9"
"15","18","9"
"16","18","9"
"17","18","12"
"18","18","15"
"19","18","15"
"20","18","16"
"21","18","19"
"22","17","20"
"23","18","20"
"24","18","20"
"25","18","20"
"26","18","20"
"27","18","21"
"28","18","21"
"29","18","22"
"30","18","22"
"31","18","22"
"32","18","25"
"33","18","25"
"34","18","25"
"35","18","25"
"36","18","26"
"37","18","26"
"38","18","26"
