Season,Match,Position,Date
2023_24,1,0.0,2023-08-12
2023_24,2,18.0,2023-08-25
2023_24,3,20.0,2023-09-01
2023_24,4,20.0,2023-09-16
2023_24,5,20.0,2023-09-23
2023_24,6,19.0,2023-09-30
2023_24,7,17.0,2023-10-03
2023_24,8,17.0,2023-10-07
2023_24,9,17.0,2023-10-21
2023_24,10,17.0,2023-10-29
2023_24,11,18.0,2023-11-05
2023_24,12,17.0,2023-11-11
2023_24,13,18.0,2023-11-25
2023_24,14,18.0,2023-12-02
2023_24,15,18.0,2023-12-05
2023_24,16,18.0,2023-12-10
2023_24,17,18.0,2023-12-23
2023_24,18,18.0,2023-12-26
2023_24,19,18.0,2023-12-30
2023_24,20,18.0,2024-01-12
2023_24,21,18.0,2024-01-30
2023_24,22,18.0,2024-02-03
2023_24,23,17.0,2024-02-10
2023_24,24,18.0,2024-02-18
2023_24,25,18.0,2024-02-21
2023_24,26,18.0,2024-03-02
2023_24,27,18.0,2024-03-09
2023_24,28,18.0,2024-03-13
2023_24,29,18.0,2024-03-16
2023_24,30,18.0,2024-03-30
2023_24,31,18.0,2024-04-03
2023_24,32,18.0,2024-04-06
2023_24,33,18.0,2024-04-13
2023_24,34,18.0,2024-04-20
2023_24,35,18.0,2024-04-27
2023_24,36,18.0,2024-05-03
2023_24,37,18.0,2024-05-11
2023_24,38,18.0,2024-05-19
