"Match","Position","Points"
"1","4","3"
"2","1","6"
"3","2","7"
"4","2","10"
"5","2","13"
"6","2","14"
"7","1","17"
"8","2","20"
"9","1","23"
"10","2","23"
"11","2","26"
"12","1","29"
"13","1","32"
"14","2","32"
"15","2","35"
"16","2","36"
"17","2","39"
"18","2","39"
"19","2","42"
"20","2","45"
"21","2","45"
"22","2","48"
"23","1","51"
"24","2","52"
"25","2","55"
"26","2","58"
"27","2","61"
"28","2","64"
"29","2","67"
"30","2","70"
"31","2","73"
"32","1","76"
"33","1","79"
"34","1","82"
"35","1","85"
"36","1","88"
"37","1","89"
"38","1","89"
