"Match","Position","Points"
"1","1","3"
"2","10","3"
"3","13","3"
"4","10","6"
"5","8","9"
"6","6","10"
"7","10","10"
"8","8","13"
"9","9","14"
"10","8","17"
"11","7","20"
"12","8","20"
"13","7","21"
"14","7","22"
"15","8","23"
"16","6","26"
"17","6","26"
"18","6","29"
"19","6","32"
"20","6","35"
"21","6","38"
"22","6","41"
"23","6","44"
"24","6","45"
"25","5","48"
"26","4","51"
"27","5","52"
"28","5","55"
"29","4","58"
"30","5","58"
"31","4","61"
"32","5","61"
"33","5","64"
"34","6","64"
"35","6","64"
"36","6","65"
"37","6","66"
"38","6","66"
