Season,Match,Position,Date
2017_18,1,0.0,2017-08-13
2017_18,2,1.0,2017-08-19
2017_18,3,1.0,2017-08-26
2017_18,4,1.0,2017-09-09
2017_18,5,1.0,2017-09-17
2017_18,6,2.0,2017-09-23
2017_18,7,2.0,2017-09-30
2017_18,8,2.0,2017-10-14
2017_18,9,2.0,2017-10-21
2017_18,10,2.0,2017-10-28
2017_18,11,2.0,2017-11-05
2017_18,12,2.0,2017-11-18
2017_18,13,2.0,2017-11-25
2017_18,14,2.0,2017-11-28
2017_18,15,2.0,2017-12-02
2017_18,16,2.0,2017-12-10
2017_18,17,2.0,2017-12-13
2017_18,18,2.0,2017-12-17
2017_18,19,2.0,2017-12-23
2017_18,20,2.0,2017-12-26
2017_18,21,2.0,2017-12-30
2017_18,22,3.0,2018-01-01
2017_18,23,2.0,2018-01-15
2017_18,24,2.0,2018-01-20
2017_18,25,2.0,2018-01-31
2017_18,26,2.0,2018-02-03
2017_18,27,2.0,2018-02-11
2017_18,28,2.0,2018-02-25
2017_18,29,2.0,2018-03-05
2017_18,30,2.0,2018-03-10
2017_18,31,2.0,2018-03-31
2017_18,32,2.0,2018-04-07
2017_18,33,2.0,2018-04-15
2017_18,34,2.0,2018-04-18
2017_18,35,2.0,2018-04-29
2017_18,36,2.0,2018-05-04
2017_18,37,2.0,2018-05-10
2017_18,38,2.0,2018-05-13
2018_19,1,2.0,2018-08-10
2018_19,2,1.0,2018-08-19
2018_19,3,10.0,2018-08-27
2018_19,4,13.0,2018-09-02
2018_19,5,10.0,2018-09-15
2018_19,6,8.0,2018-09-22
2018_19,7,6.0,2018-09-29
2018_19,8,10.0,2018-10-06
2018_19,9,8.0,2018-10-20
2018_19,10,9.0,2018-10-28
2018_19,11,8.0,2018-11-03
2018_19,12,7.0,2018-11-11
2018_19,13,8.0,2018-11-24
2018_19,14,7.0,2018-12-01
2018_19,15,7.0,2018-12-05
2018_19,16,8.0,2018-12-08
2018_19,17,6.0,2018-12-16
2018_19,18,6.0,2018-12-22
2018_19,19,6.0,2018-12-26
2018_19,20,6.0,2018-12-30
2018_19,21,6.0,2019-01-02
2018_19,22,6.0,2019-01-13
2018_19,23,6.0,2019-01-19
2018_19,24,6.0,2019-01-29
2018_19,25,6.0,2019-02-03
2018_19,26,5.0,2019-02-09
2018_19,27,4.0,2019-02-24
2018_19,28,5.0,2019-02-27
2018_19,29,5.0,2019-03-02
2018_19,30,4.0,2019-03-10
2018_19,31,5.0,2019-03-30
2018_19,32,4.0,2019-04-02
2018_19,33,5.0,2019-04-13
2018_19,34,5.0,2019-04-21
2018_19,35,6.0,2019-04-24
2018_19,36,6.0,2019-04-28
2018_19,37,6.0,2019-05-05
2018_19,38,6.0,2019-05-12
2022_23,1,6.0,2022-08-07
2022_23,2,13.0,2022-08-13
2022_23,3,20.0,2022-08-22
2022_23,4,14.0,2022-08-27
2022_23,5,7.0,2022-09-01
2022_23,6,5.0,2022-09-04
2022_23,7,5.0,2022-10-02
2022_23,8,6.0,2022-10-09
2022_23,9,5.0,2022-10-16
2022_23,10,5.0,2022-10-19
2022_23,11,5.0,2022-10-22
2022_23,12,5.0,2022-10-30
2022_23,13,5.0,2022-11-06
2022_23,14,5.0,2022-11-13
2022_23,15,5.0,2022-12-27
2022_23,16,5.0,2022-12-31
2022_23,17,4.0,2023-01-03
2022_23,18,4.0,2023-01-14
2022_23,19,3.0,2023-01-18
2022_23,20,3.0,2023-01-22
2022_23,21,4.0,2023-02-04
2022_23,22,3.0,2023-02-08
2022_23,23,3.0,2023-02-12
2022_23,24,3.0,2023-02-19
2022_23,25,3.0,2023-03-05
2022_23,26,3.0,2023-03-12
2022_23,27,3.0,2023-04-02
2022_23,28,4.0,2023-04-05
2022_23,29,4.0,2023-04-08
2022_23,30,4.0,2023-04-16
2022_23,31,3.0,2023-04-27
2022_23,32,4.0,2023-04-30
2022_23,33,4.0,2023-05-04
2022_23,34,4.0,2023-05-07
2022_23,35,4.0,2023-05-13
2022_23,36,4.0,2023-05-20
2022_23,37,4.0,2023-05-25
2022_23,38,3.0,2023-05-28
2023_24,1,3.0,2023-08-14
2023_24,2,7.0,2023-08-19
2023_24,3,10.0,2023-08-26
2023_24,4,6.0,2023-09-03
2023_24,5,11.0,2023-09-16
2023_24,6,13.0,2023-09-23
2023_24,7,8.0,2023-09-30
2023_24,8,10.0,2023-10-07
2023_24,9,10.0,2023-10-21
2023_24,10,8.0,2023-10-29
2023_24,11,8.0,2023-11-04
2023_24,12,8.0,2023-11-11
2023_24,13,6.0,2023-11-26
2023_24,14,6.0,2023-12-02
2023_24,15,7.0,2023-12-06
2023_24,16,6.0,2023-12-09
2023_24,17,6.0,2023-12-17
2023_24,18,7.0,2023-12-23
2023_24,19,8.0,2023-12-26
2023_24,20,6.0,2023-12-30
2023_24,21,7.0,2024-01-14
2023_24,22,7.0,2024-02-01
2023_24,23,7.0,2024-02-04
2023_24,24,6.0,2024-02-11
2023_24,25,6.0,2024-02-18
2023_24,26,6.0,2024-02-24
2023_24,27,6.0,2024-03-03
2023_24,28,6.0,2024-03-09
2023_24,29,6.0,2024-03-30
2023_24,30,6.0,2024-04-04
2023_24,31,6.0,2024-04-07
2023_24,32,6.0,2024-04-13
2023_24,33,7.0,2024-04-24
2023_24,34,6.0,2024-04-27
2023_24,35,6.0,2024-05-06
2023_24,36,8.0,2024-05-12
2023_24,37,8.0,2024-05-15
2023_24,38,8.0,2024-05-19
