"Match","Position","Points"
"1","18","0"
"2","17","0"
"3","14","3"
"4","10","6"
"5","4","9"
"6","9","9"
"7","9","10"
"8","9","11"
"9","6","14"
"10","9","14"
"11","11","14"
"12","11","14"
"13","13","14"
"14","12","15"
"15","14","15"
"16","16","15"
"17","16","15"
"18","18","15"
"19","15","18"
"20","15","18"
"21","16","19"
"22","13","22"
"23","14","23"
"24","15","23"
"25","14","24"
"26","16","25"
"27","13","28"
"28","15","29"
"29","16","29"
"30","13","32"
"31","12","35"
"32","10","38"
"33","10","41"
"34","10","41"
"35","10","41"
"36","10","41"
"37","10","41"
"38","10","44"
