Season,Match,Position,Date
2017_18,1,0.0,2017-08-13
2017_18,2,18.0,2017-08-20
2017_18,3,17.0,2017-08-26
2017_18,4,14.0,2017-09-10
2017_18,5,10.0,2017-09-16
2017_18,6,4.0,2017-09-24
2017_18,7,9.0,2017-10-01
2017_18,8,9.0,2017-10-15
2017_18,9,9.0,2017-10-21
2017_18,10,6.0,2017-10-30
2017_18,11,9.0,2017-11-04
2017_18,12,11.0,2017-11-18
2017_18,13,11.0,2017-11-25
2017_18,14,13.0,2017-11-28
2017_18,15,12.0,2017-12-02
2017_18,16,14.0,2017-12-09
2017_18,17,16.0,2017-12-13
2017_18,18,16.0,2017-12-16
2017_18,19,18.0,2017-12-23
2017_18,20,15.0,2017-12-27
2017_18,21,15.0,2017-12-30
2017_18,22,16.0,2018-01-01
2017_18,23,13.0,2018-01-13
2017_18,24,14.0,2018-01-20
2017_18,25,15.0,2018-01-31
2017_18,26,14.0,2018-02-04
2017_18,27,16.0,2018-02-11
2017_18,28,13.0,2018-02-24
2017_18,29,15.0,2018-03-03
2017_18,30,16.0,2018-03-10
2017_18,31,13.0,2018-03-31
2017_18,32,12.0,2018-04-07
2017_18,33,10.0,2018-04-15
2017_18,34,10.0,2018-04-23
2017_18,35,10.0,2018-04-28
2017_18,36,10.0,2018-05-05
2017_18,37,10.0,2018-05-09
2017_18,38,10.0,2018-05-13
2018_19,1,10.0,2018-08-11
2018_19,2,16.0,2018-08-18
2018_19,3,12.0,2018-08-26
2018_19,4,16.0,2018-09-01
2018_19,5,18.0,2018-09-15
2018_19,6,18.0,2018-09-22
2018_19,7,18.0,2018-09-29
2018_19,8,18.0,2018-10-06
2018_19,9,19.0,2018-10-20
2018_19,10,20.0,2018-10-27
2018_19,11,19.0,2018-11-03
2018_19,12,17.0,2018-11-10
2018_19,13,14.0,2018-11-26
2018_19,14,13.0,2018-12-01
2018_19,15,15.0,2018-12-05
2018_19,16,14.0,2018-12-09
2018_19,17,15.0,2018-12-15
2018_19,18,14.0,2018-12-22
2018_19,19,15.0,2018-12-26
2018_19,20,15.0,2018-12-29
2018_19,21,15.0,2019-01-02
2018_19,22,15.0,2019-01-12
2018_19,23,18.0,2019-01-19
2018_19,24,17.0,2019-01-29
2018_19,25,14.0,2019-02-02
2018_19,26,15.0,2019-02-11
2018_19,27,16.0,2019-02-23
2018_19,28,15.0,2019-02-26
2018_19,29,13.0,2019-03-02
2018_19,30,14.0,2019-03-09
2018_19,31,13.0,2019-03-16
2018_19,32,13.0,2019-04-01
2018_19,33,14.0,2019-04-06
2018_19,34,15.0,2019-04-12
2018_19,35,13.0,2019-04-20
2018_19,36,12.0,2019-04-27
2018_19,37,13.0,2019-05-04
2018_19,38,14.0,2019-05-12
2022_23,1,13.0,2022-08-06
2022_23,2,4.0,2022-08-13
2022_23,3,4.0,2022-08-21
2022_23,4,6.0,2022-08-28
2022_23,5,7.0,2022-08-31
2022_23,6,11.0,2022-09-03
2022_23,7,11.0,2022-09-17
2022_23,8,10.0,2022-10-01
2022_23,9,7.0,2022-10-08
2022_23,10,5.0,2022-10-16
2022_23,11,6.0,2022-10-19
2022_23,12,6.0,2022-10-23
2022_23,13,4.0,2022-10-29
2022_23,14,4.0,2022-11-06
2022_23,15,3.0,2022-11-12
2022_23,16,3.0,2022-12-26
2022_23,17,2.0,2022-12-31
2022_23,18,3.0,2023-01-03
2022_23,19,3.0,2023-01-15
2022_23,20,3.0,2023-01-21
2022_23,21,3.0,2023-02-04
2022_23,22,4.0,2023-02-11
2022_23,23,4.0,2023-02-18
2022_23,24,4.0,2023-03-04
2022_23,25,5.0,2023-03-12
2022_23,26,5.0,2023-03-17
2022_23,27,5.0,2023-04-02
2022_23,28,3.0,2023-04-05
2022_23,29,3.0,2023-04-08
2022_23,30,3.0,2023-04-15
2022_23,31,3.0,2023-04-23
2022_23,32,3.0,2023-04-27
2022_23,33,3.0,2023-04-30
2022_23,34,3.0,2023-05-07
2022_23,35,3.0,2023-05-13
2022_23,36,3.0,2023-05-18
2022_23,37,3.0,2023-05-22
2022_23,38,3.0,2023-05-28
2023_24,1,4.0,2023-08-12
2023_24,2,1.0,2023-08-19
2023_24,3,6.0,2023-08-27
2023_24,4,13.0,2023-09-02
2023_24,5,14.0,2023-09-16
2023_24,6,11.0,2023-09-24
2023_24,7,8.0,2023-09-30
2023_24,8,8.0,2023-10-08
2023_24,9,8.0,2023-10-21
2023_24,10,5.0,2023-10-28
2023_24,11,6.0,2023-11-04
2023_24,12,6.0,2023-11-11
2023_24,13,7.0,2023-11-25
2023_24,14,6.0,2023-12-02
2023_24,15,5.0,2023-12-07
2023_24,16,7.0,2023-12-10
2023_24,17,7.0,2023-12-16
2023_24,18,6.0,2023-12-23
2023_24,19,7.0,2023-12-26
2023_24,20,8.0,2024-01-01
2023_24,21,9.0,2024-01-13
2023_24,22,10.0,2024-01-30
2023_24,23,7.0,2024-02-03
2023_24,24,9.0,2024-02-10
2023_24,25,7.0,2024-02-17
2023_24,26,7.0,2024-02-24
2023_24,27,8.0,2024-03-02
2023_24,28,8.0,2024-03-11
2023_24,29,10.0,2024-03-30
2023_24,30,8.0,2024-04-02
2023_24,31,8.0,2024-04-06
2023_24,32,8.0,2024-04-13
2023_24,33,6.0,2024-04-24
2023_24,34,7.0,2024-04-27
2023_24,35,7.0,2024-05-04
2023_24,36,6.0,2024-05-11
2023_24,37,6.0,2024-05-15
2023_24,38,7.0,2024-05-19
