"Match","Position","Points"
"1","19","0"
"2","10","3"
"3","11","4"
"4","14","4"
"5","15","4"
"6","19","4"
"7","19","4"
"8","20","4"
"9","19","5"
"10","20","5"
"11","19","6"
"12","19","9"
"13","20","9"
"14","20","10"
"15","18","13"
"16","19","13"
"17","18","14"
"18","15","17"
"19","13","20"
"20","13","21"
"21","13","24"
"22","14","24"
"23","13","25"
"24","13","25"
"25","14","26"
"26","14","26"
"27","14","26"
"28","14","27"
"29","17","27"
"30","18","27"
"31","18","27"
"32","19","27"
"33","17","30"
"34","17","30"
"35","16","33"
"36","16","34"
"37","16","37"
"38","16","38"
