"Match","Position","Points"
"1","17","0"
"2","17","0"
"3","17","0"
"4","17","1"
"5","17","1"
"6","20","1"
"7","20","1"
"8","20","1"
"9","20","1"
"10","20","1"
"11","20","4"
"12","19","5"
"13","19","5"
"14","20","5"
"15","20","5"
"16","20","8"
"17","20","8"
"18","19","9"
"19","20","9"
"20","20","9"
"21","20","10"
"22","20","10"
"23","20","10"
"24","20","13"
"25","20","13"
"26","20","13"
"27","20","13"
"28","19","14"
"29","20","15"
"30","20","15"
"31","20","16"
"32","20","16"
"33","20","16"
"34","20","16"
"35","20","16"
"36","20","16"
"37","20","16"
"38","20","16"
