Season,Match,Position,Date
2023_24,1,0.0,2023-08-12
2023_24,2,17.0,2023-08-18
2023_24,3,17.0,2023-08-27
2023_24,4,17.0,2023-09-02
2023_24,5,17.0,2023-09-16
2023_24,6,17.0,2023-09-24
2023_24,7,20.0,2023-09-30
2023_24,8,20.0,2023-10-07
2023_24,9,20.0,2023-10-21
2023_24,10,20.0,2023-10-28
2023_24,11,20.0,2023-11-04
2023_24,12,20.0,2023-11-12
2023_24,13,19.0,2023-11-25
2023_24,14,19.0,2023-12-02
2023_24,15,20.0,2023-12-06
2023_24,16,20.0,2023-12-09
2023_24,17,20.0,2023-12-16
2023_24,18,20.0,2023-12-22
2023_24,19,19.0,2023-12-26
2023_24,20,20.0,2023-12-30
2023_24,21,20.0,2024-01-21
2023_24,22,20.0,2024-01-30
2023_24,23,20.0,2024-02-03
2023_24,24,20.0,2024-02-10
2023_24,25,20.0,2024-02-18
2023_24,26,20.0,2024-02-25
2023_24,27,20.0,2024-03-04
2023_24,28,20.0,2024-03-09
2023_24,29,19.0,2024-03-30
2023_24,30,20.0,2024-04-04
2023_24,31,20.0,2024-04-07
2023_24,32,20.0,2024-04-13
2023_24,33,20.0,2024-04-20
2023_24,34,20.0,2024-04-24
2023_24,35,20.0,2024-04-27
2023_24,36,20.0,2024-05-04
2023_24,37,20.0,2024-05-11
2023_24,38,20.0,2024-05-19
