"Match","Position","Points"
"1","9","1"
"2","5","4"
"3","6","5"
"4","11","5"
"5","9","8"
"6","11","8"
"7","12","8"
"8","10","9"
"9","10","12"
"10","9","13"
"11","13","13"
"12","14","13"
"13","10","16"
"14","11","16"
"15","11","17"
"16","11","18"
"17","11","18"
"18","12","18"
"19","13","19"
"20","14","19"
"21","13","20"
"22","17","20"
"23","16","21"
"24","18","22"
"25","18","23"
"26","14","26"
"27","18","26"
"28","16","27"
"29","17","28"
"30","17","28"
"31","18","28"
"32","18","28"
"33","18","28"
"34","18","29"
"35","18","32"
"36","17","33"
"37","16","36"
"38","17","36"
