Season,Match,Position,Date
2017_18,1,0.0,2017-08-12
2017_18,2,9.0,2017-08-19
2017_18,3,5.0,2017-08-26
2017_18,4,6.0,2017-09-09
2017_18,5,11.0,2017-09-16
2017_18,6,9.0,2017-09-23
2017_18,7,11.0,2017-09-30
2017_18,8,12.0,2017-10-15
2017_18,9,10.0,2017-10-21
2017_18,10,10.0,2017-10-29
2017_18,11,9.0,2017-11-04
2017_18,12,13.0,2017-11-18
2017_18,13,14.0,2017-11-26
2017_18,14,10.0,2017-11-29
2017_18,15,11.0,2017-12-03
2017_18,16,11.0,2017-12-10
2017_18,17,11.0,2017-12-13
2017_18,18,11.0,2017-12-16
2017_18,19,12.0,2017-12-23
2017_18,20,13.0,2017-12-26
2017_18,21,14.0,2017-12-30
2017_18,22,13.0,2018-01-02
2017_18,23,17.0,2018-01-13
2017_18,24,16.0,2018-01-21
2017_18,25,18.0,2018-01-31
2017_18,26,18.0,2018-02-03
2017_18,27,14.0,2018-02-11
2017_18,28,18.0,2018-02-24
2017_18,29,16.0,2018-03-03
2017_18,30,17.0,2018-03-10
2017_18,31,17.0,2018-03-31
2017_18,32,18.0,2018-04-08
2017_18,33,18.0,2018-04-14
2017_18,34,18.0,2018-04-19
2017_18,35,18.0,2018-04-28
2017_18,36,18.0,2018-05-05
2017_18,37,17.0,2018-05-08
2017_18,38,16.0,2018-05-13
2018_19,1,17.0,2018-08-12
2018_19,2,12.0,2018-08-18
2018_19,3,13.0,2018-08-25
2018_19,4,16.0,2018-09-01
2018_19,5,10.0,2018-09-17
2018_19,6,13.0,2018-09-22
2018_19,7,14.0,2018-09-29
2018_19,8,15.0,2018-10-07
2018_19,9,16.0,2018-10-20
2018_19,10,16.0,2018-10-27
2018_19,11,16.0,2018-11-04
2018_19,12,16.0,2018-11-10
2018_19,13,17.0,2018-11-24
2018_19,14,17.0,2018-12-01
2018_19,15,18.0,2018-12-05
2018_19,16,18.0,2018-12-08
2018_19,17,19.0,2018-12-16
2018_19,18,17.0,2018-12-22
2018_19,19,16.0,2018-12-27
2018_19,20,16.0,2018-12-30
2018_19,21,17.0,2019-01-02
2018_19,22,18.0,2019-01-12
2018_19,23,16.0,2019-01-19
2018_19,24,15.0,2019-01-30
2018_19,25,16.0,2019-02-02
2018_19,26,16.0,2019-02-09
2018_19,27,18.0,2019-02-24
2018_19,28,18.0,2019-02-27
2018_19,29,17.0,2019-03-02
2018_19,30,17.0,2019-03-09
2018_19,31,16.0,2019-03-30
2018_19,32,16.0,2019-04-05
2018_19,33,16.0,2019-04-13
2018_19,34,16.0,2019-04-20
2018_19,35,16.0,2019-04-23
2018_19,36,16.0,2019-04-27
2018_19,37,16.0,2019-05-04
2018_19,38,16.0,2019-05-12
2022_23,1,16.0,2022-08-06
2022_23,2,20.0,2022-08-13
2022_23,3,15.0,2022-08-20
2022_23,4,12.0,2022-08-27
2022_23,5,14.0,2022-08-30
2022_23,6,7.0,2022-09-03
2022_23,7,12.0,2022-09-16
2022_23,8,12.0,2022-10-01
2022_23,9,16.0,2022-10-08
2022_23,10,16.0,2022-10-16
2022_23,11,18.0,2022-10-19
2022_23,12,14.0,2022-10-23
2022_23,13,15.0,2022-10-29
2022_23,14,17.0,2022-11-06
2022_23,15,18.0,2022-11-12
2022_23,16,19.0,2022-12-26
2022_23,17,20.0,2022-12-31
2022_23,18,20.0,2023-01-04
2022_23,19,20.0,2023-01-14
2022_23,20,20.0,2023-01-21
2022_23,21,20.0,2023-02-04
2022_23,22,20.0,2023-02-11
2022_23,23,20.0,2023-02-18
2022_23,24,20.0,2023-02-25
2022_23,25,20.0,2023-03-04
2022_23,26,19.0,2023-03-12
2022_23,27,20.0,2023-03-15
2022_23,28,20.0,2023-03-18
2022_23,29,20.0,2023-04-02
2022_23,30,20.0,2023-04-08
2022_23,31,20.0,2023-04-15
2022_23,32,20.0,2023-04-21
2022_23,33,20.0,2023-04-27
2022_23,34,20.0,2023-04-30
2022_23,35,20.0,2023-05-08
2022_23,36,20.0,2023-05-13
2022_23,37,20.0,2023-05-21
2022_23,38,20.0,2023-05-28
