"Match","Position","Points"
"1","18","0"
"2","13","3"
"3","11","4"
"4","10","5"
"5","13","5"
"6","15","5"
"7","13","8"
"8","15","8"
"9","18","8"
"10","13","11"
"11","14","12"
"12","15","13"
"13","15","13"
"14","16","13"
"15","13","16"
"16","15","16"
"17","15","16"
"18","17","16"
"19","14","19"
"20","13","20"
"21","15","20"
"22","16","20"
"23","18","20"
"24","17","23"
"25","16","24"
"26","18","24"
"27","18","25"
"28","19","26"
"29","19","27"
"30","19","27"
"31","19","27"
"32","19","27"
"33","19","27"
"34","19","28"
"35","19","29"
"36","19","30"
"37","20","30"
"38","19","33"
