Season,Match,Position,Date
2017_18,1,0.0,2017-08-12
2017_18,2,18.0,2017-08-19
2017_18,3,13.0,2017-08-27
2017_18,4,11.0,2017-09-09
2017_18,5,10.0,2017-09-16
2017_18,6,13.0,2017-09-23
2017_18,7,15.0,2017-09-30
2017_18,8,13.0,2017-10-14
2017_18,9,15.0,2017-10-21
2017_18,10,18.0,2017-10-28
2017_18,11,13.0,2017-11-04
2017_18,12,14.0,2017-11-20
2017_18,13,15.0,2017-11-25
2017_18,14,15.0,2017-11-29
2017_18,15,16.0,2017-12-02
2017_18,16,13.0,2017-12-09
2017_18,17,15.0,2017-12-12
2017_18,18,15.0,2017-12-16
2017_18,19,17.0,2017-12-23
2017_18,20,14.0,2017-12-26
2017_18,21,13.0,2017-12-30
2017_18,22,15.0,2018-01-01
2017_18,23,16.0,2018-01-15
2017_18,24,18.0,2018-01-20
2017_18,25,17.0,2018-01-31
2017_18,26,16.0,2018-02-03
2017_18,27,18.0,2018-02-10
2017_18,28,18.0,2018-02-24
2017_18,29,19.0,2018-03-03
2017_18,30,19.0,2018-03-12
2017_18,31,19.0,2018-03-17
2017_18,32,19.0,2018-04-01
2017_18,33,19.0,2018-04-07
2017_18,34,19.0,2018-04-16
2017_18,35,19.0,2018-04-22
2017_18,36,19.0,2018-04-28
2017_18,37,19.0,2018-05-05
2017_18,38,20.0,2018-05-13
