"Match","Position","Points"
"1","10","1"
"2","14","1"
"3","9","4"
"4","15","4"
"5","14","5"
"6","14","5"
"7","18","5"
"8","13","8"
"9","15","8"
"10","17","8"
"11","18","8"
"12","19","8"
"13","19","9"
"14","19","9"
"15","20","9"
"16","19","12"
"17","20","12"
"18","20","12"
"19","20","13"
"20","20","13"
"21","19","16"
"22","20","16"
"23","20","17"
"24","20","20"
"25","17","23"
"26","17","24"
"27","15","27"
"28","18","27"
"29","13","30"
"30","14","31"
"31","15","31"
"32","15","32"
"33","17","33"
"34","17","33"
"35","17","33"
"36","18","33"
"37","18","33"
"38","18","33"
