"Match","Position","Points"
"1","1","3"
"2","4","4"
"3","2","7"
"4","3","10"
"5","3","11"
"6","3","14"
"7","2","17"
"8","3","17"
"9","3","20"
"10","3","23"
"11","3","23"
"12","3","23"
"13","3","26"
"14","4","26"
"15","4","29"
"16","4","30"
"17","5","30"
"18","5","33"
"19","5","33"
"20","5","33"
"21","5","36"
"22","5","39"
"23","5","39"
"24","4","42"
"25","4","45"
"26","4","45"
"27","4","48"
"28","4","49"
"29","4","50"
"30","5","53"
"31","5","53"
"32","5","53"
"33","5","54"
"34","6","54"
"35","6","57"
"36","6","57"
"37","8","57"
"38","8","60"
