Season,Match,Position,Date
2017_18,1,0.0,2017-08-13
2017_18,2,4.0,2017-08-20
2017_18,3,9.0,2017-08-27
2017_18,4,9.0,2017-09-09
2017_18,5,5.0,2017-09-16
2017_18,6,5.0,2017-09-23
2017_18,7,4.0,2017-09-30
2017_18,8,3.0,2017-10-14
2017_18,9,3.0,2017-10-22
2017_18,10,3.0,2017-10-28
2017_18,11,3.0,2017-11-05
2017_18,12,3.0,2017-11-18
2017_18,13,4.0,2017-11-25
2017_18,14,4.0,2017-11-28
2017_18,15,5.0,2017-12-02
2017_18,16,6.0,2017-12-09
2017_18,17,5.0,2017-12-13
2017_18,18,4.0,2017-12-16
2017_18,19,7.0,2017-12-23
2017_18,20,5.0,2017-12-26
2017_18,21,5.0,2018-01-02
2017_18,22,5.0,2018-01-04
2017_18,23,5.0,2018-01-13
2017_18,24,5.0,2018-01-21
2017_18,25,5.0,2018-01-31
2017_18,26,5.0,2018-02-04
2017_18,27,5.0,2018-02-10
2017_18,28,3.0,2018-02-25
2017_18,29,4.0,2018-03-03
2017_18,30,4.0,2018-03-11
2017_18,31,3.0,2018-04-01
2017_18,32,4.0,2018-04-07
2017_18,33,4.0,2018-04-14
2017_18,34,4.0,2018-04-17
2017_18,35,4.0,2018-04-30
2017_18,36,4.0,2018-05-05
2017_18,37,4.0,2018-05-09
2017_18,38,3.0,2018-05-13
2018_19,1,3.0,2018-08-11
2018_19,2,6.0,2018-08-18
2018_19,3,2.0,2018-08-27
2018_19,4,2.0,2018-09-02
2018_19,5,5.0,2018-09-15
2018_19,6,6.0,2018-09-22
2018_19,7,5.0,2018-09-29
2018_19,8,4.0,2018-10-06
2018_19,9,3.0,2018-10-20
2018_19,10,4.0,2018-10-29
2018_19,11,5.0,2018-11-03
2018_19,12,4.0,2018-11-10
2018_19,13,4.0,2018-11-24
2018_19,14,3.0,2018-12-02
2018_19,15,5.0,2018-12-05
2018_19,16,3.0,2018-12-08
2018_19,17,3.0,2018-12-15
2018_19,18,3.0,2018-12-23
2018_19,19,3.0,2018-12-26
2018_19,20,2.0,2018-12-29
2018_19,21,2.0,2019-01-01
2018_19,22,2.0,2019-01-13
2018_19,23,3.0,2019-01-20
2018_19,24,3.0,2019-01-30
2018_19,25,3.0,2019-02-02
2018_19,26,2.0,2019-02-10
2018_19,27,3.0,2019-02-23
2018_19,28,3.0,2019-02-27
2018_19,29,3.0,2019-03-02
2018_19,30,3.0,2019-03-09
2018_19,31,3.0,2019-03-31
2018_19,32,3.0,2019-04-03
2018_19,33,3.0,2019-04-13
2018_19,34,3.0,2019-04-20
2018_19,35,3.0,2019-04-23
2018_19,36,3.0,2019-04-27
2018_19,37,3.0,2019-05-04
2018_19,38,3.0,2019-05-12
2022_23,1,4.0,2022-08-06
2022_23,2,1.0,2022-08-14
2022_23,3,4.0,2022-08-20
2022_23,4,2.0,2022-08-28
2022_23,5,3.0,2022-08-31
2022_23,6,3.0,2022-09-03
2022_23,7,3.0,2022-09-17
2022_23,8,2.0,2022-10-01
2022_23,9,3.0,2022-10-08
2022_23,10,3.0,2022-10-15
2022_23,11,3.0,2022-10-19
2022_23,12,3.0,2022-10-23
2022_23,13,3.0,2022-10-29
2022_23,14,3.0,2022-11-06
2022_23,15,4.0,2022-11-12
2022_23,16,4.0,2022-12-26
2022_23,17,4.0,2023-01-01
2022_23,18,5.0,2023-01-04
2022_23,19,5.0,2023-01-15
2022_23,20,5.0,2023-01-19
2022_23,21,5.0,2023-01-23
2022_23,22,5.0,2023-02-05
2022_23,23,5.0,2023-02-11
2022_23,24,5.0,2023-02-19
2022_23,25,4.0,2023-02-26
2022_23,26,4.0,2023-03-04
2022_23,27,4.0,2023-03-11
2022_23,28,4.0,2023-03-18
2022_23,29,4.0,2023-04-03
2022_23,30,4.0,2023-04-08
2022_23,31,5.0,2023-04-15
2022_23,32,5.0,2023-04-23
2022_23,33,5.0,2023-04-27
2022_23,34,5.0,2023-04-30
2022_23,35,6.0,2023-05-06
2022_23,36,6.0,2023-05-13
2022_23,37,6.0,2023-05-20
2022_23,38,8.0,2023-05-28
2023_24,1,8.0,2023-08-13
2023_24,2,8.0,2023-08-19
2023_24,3,5.0,2023-08-26
2023_24,4,2.0,2023-09-02
2023_24,5,2.0,2023-09-16
2023_24,6,2.0,2023-09-24
2023_24,7,4.0,2023-09-30
2023_24,8,2.0,2023-10-07
2023_24,9,1.0,2023-10-23
2023_24,10,1.0,2023-10-27
2023_24,11,1.0,2023-11-06
2023_24,12,2.0,2023-11-11
2023_24,13,3.0,2023-11-26
2023_24,14,5.0,2023-12-03
2023_24,15,5.0,2023-12-07
2023_24,16,5.0,2023-12-10
2023_24,17,5.0,2023-12-15
2023_24,18,5.0,2023-12-23
2023_24,19,4.0,2023-12-28
2023_24,20,5.0,2023-12-31
2023_24,21,5.0,2024-01-14
2023_24,22,5.0,2024-01-31
2023_24,23,4.0,2024-02-03
2023_24,24,5.0,2024-02-10
2023_24,25,4.0,2024-02-17
2023_24,26,5.0,2024-03-02
2023_24,27,5.0,2024-03-10
2023_24,28,5.0,2024-03-16
2023_24,29,5.0,2024-03-30
2023_24,30,5.0,2024-04-02
2023_24,31,5.0,2024-04-07
2023_24,32,4.0,2024-04-13
2023_24,33,5.0,2024-04-28
2023_24,34,5.0,2024-05-02
2023_24,35,5.0,2024-05-05
2023_24,36,5.0,2024-05-11
2023_24,37,5.0,2024-05-14
2023_24,38,5.0,2024-05-19
