"Match","Position","Points"
"1","8","1"
"2","3","4"
"3","5","5"
"4","4","8"
"5","11","8"
"6","6","11"
"7","5","12"
"8","4","15"
"9","5","15"
"10","7","15"
"11","9","15"
"12","8","18"
"13","8","21"
"14","8","21"
"15","8","22"
"16","9","22"
"17","9","22"
"18","9","22"
"19","10","22"
"20","10","25"
"21","10","25"
"22","10","25"
"23","10","26"
"24","10","26"
"25","11","27"
"26","11","30"
"27","11","30"
"28","10","33"
"29","9","36"
"30","10","36"
"31","11","36"
"32","11","37"
"33","12","37"
"34","12","37"
"35","12","38"
"36","13","38"
"37","13","41"
"38","14","41"
