Season,Match,Position,Date
2017_18,1,0.0,2017-08-12
2017_18,2,8.0,2017-08-19
2017_18,3,3.0,2017-08-26
2017_18,4,5.0,2017-09-09
2017_18,5,4.0,2017-09-16
2017_18,6,11.0,2017-09-23
2017_18,7,6.0,2017-09-30
2017_18,8,5.0,2017-10-14
2017_18,9,4.0,2017-10-21
2017_18,10,5.0,2017-10-28
2017_18,11,7.0,2017-11-05
2017_18,12,9.0,2017-11-19
2017_18,13,8.0,2017-11-25
2017_18,14,8.0,2017-11-28
2017_18,15,8.0,2017-12-02
2017_18,16,8.0,2017-12-09
2017_18,17,9.0,2017-12-12
2017_18,18,9.0,2017-12-16
2017_18,19,9.0,2017-12-23
2017_18,20,10.0,2017-12-26
2017_18,21,10.0,2017-12-30
2017_18,22,10.0,2018-01-02
2017_18,23,10.0,2018-01-13
2017_18,24,10.0,2018-01-20
2017_18,25,10.0,2018-01-31
2017_18,26,11.0,2018-02-05
2017_18,27,11.0,2018-02-10
2017_18,28,11.0,2018-02-24
2017_18,29,10.0,2018-03-03
2017_18,30,9.0,2018-03-11
2017_18,31,10.0,2018-03-17
2017_18,32,11.0,2018-03-31
2017_18,33,11.0,2018-04-07
2017_18,34,12.0,2018-04-14
2017_18,35,12.0,2018-04-21
2017_18,36,12.0,2018-04-30
2017_18,37,13.0,2018-05-05
2017_18,38,13.0,2018-05-13
2018_19,1,14.0,2018-08-11
2018_19,2,4.0,2018-08-19
2018_19,3,3.0,2018-08-26
2018_19,4,3.0,2018-09-02
2018_19,5,3.0,2018-09-15
2018_19,6,4.0,2018-09-22
2018_19,7,4.0,2018-09-29
2018_19,8,6.0,2018-10-06
2018_19,9,9.0,2018-10-20
2018_19,10,7.0,2018-10-27
2018_19,11,7.0,2018-11-03
2018_19,12,8.0,2018-11-10
2018_19,13,7.0,2018-11-24
2018_19,14,9.0,2018-12-01
2018_19,15,10.0,2018-12-04
2018_19,16,11.0,2018-12-10
2018_19,17,12.0,2018-12-15
2018_19,18,10.0,2018-12-22
2018_19,19,7.0,2018-12-26
2018_19,20,9.0,2018-12-29
2018_19,21,9.0,2019-01-02
2018_19,22,8.0,2019-01-12
2018_19,23,7.0,2019-01-19
2018_19,24,7.0,2019-01-30
2018_19,25,9.0,2019-02-02
2018_19,26,8.0,2019-02-09
2018_19,27,8.0,2019-02-22
2018_19,28,7.0,2019-02-27
2018_19,29,8.0,2019-03-03
2018_19,30,8.0,2019-03-09
2018_19,31,8.0,2019-03-30
2018_19,32,10.0,2019-04-02
2018_19,33,8.0,2019-04-15
2018_19,34,10.0,2019-04-20
2018_19,35,7.0,2019-04-23
2018_19,36,7.0,2019-04-27
2018_19,37,9.0,2019-05-05
2018_19,38,10.0,2019-05-12
