"Match","Position","Points"
"1","6","3"
"2","2","6"
"3","5","7"
"4","8","7"
"5","10","8"
"6","12","8"
"7","10","9"
"8","10","10"
"9","13","10"
"10","14","10"
"11","15","10"
"12","17","10"
"13","17","11"
"14","16","12"
"15","17","13"
"16","17","13"
"17","17","14"
"18","19","14"
"19","19","14"
"20","19","15"
"21","19","16"
"22","19","16"
"23","19","19"
"24","19","20"
"25","20","20"
"26","20","20"
"27","20","20"
"28","20","20"
"29","20","20"
"30","20","20"
"31","20","20"
"32","20","20"
"33","20","21"
"34","20","24"
"35","20","25"
"36","20","28"
"37","19","31"
"38","20","31"
