Season,Match,Position,Date
2017_18,1,0.0,2017-08-12
2017_18,2,6.0,2017-08-19
2017_18,3,2.0,2017-08-27
2017_18,4,5.0,2017-09-09
2017_18,5,8.0,2017-09-16
2017_18,6,10.0,2017-09-25
2017_18,7,12.0,2017-09-30
2017_18,8,10.0,2017-10-16
2017_18,9,10.0,2017-10-21
2017_18,10,13.0,2017-10-28
2017_18,11,14.0,2017-11-04
2017_18,12,15.0,2017-11-18
2017_18,13,17.0,2017-11-25
2017_18,14,17.0,2017-11-28
2017_18,15,16.0,2017-12-02
2017_18,16,17.0,2017-12-09
2017_18,17,17.0,2017-12-13
2017_18,18,17.0,2017-12-17
2017_18,19,19.0,2017-12-23
2017_18,20,19.0,2017-12-26
2017_18,21,19.0,2017-12-31
2017_18,22,19.0,2018-01-02
2017_18,23,19.0,2018-01-13
2017_18,24,19.0,2018-01-20
2017_18,25,19.0,2018-01-31
2017_18,26,20.0,2018-02-03
2017_18,27,20.0,2018-02-12
2017_18,28,20.0,2018-02-24
2017_18,29,20.0,2018-03-03
2017_18,30,20.0,2018-03-10
2017_18,31,20.0,2018-03-17
2017_18,32,20.0,2018-03-31
2017_18,33,20.0,2018-04-07
2017_18,34,20.0,2018-04-15
2017_18,35,20.0,2018-04-21
2017_18,36,20.0,2018-04-28
2017_18,37,20.0,2018-05-05
2017_18,38,19.0,2018-05-13
