"Match","Position","Points"
"1","19","0"
"2","19","0"
"3","20","0"
"4","16","3"
"5","14","4"
"6","18","4"
"7","18","4"
"8","15","7"
"9","13","10"
"10","12","11"
"11","13","11"
"12","10","14"
"13","13","14"
"14","15","14"
"15","16","14"
"16","16","14"
"17","17","14"
"18","17","15"
"19","18","15"
"20","15","18"
"21","16","19"
"22","16","20"
"23","18","20"
"24","16","23"
"25","16","23"
"26","17","24"
"27","14","27"
"28","15","27"
"29","13","30"
"30","15","31"
"31","13","34"
"32","14","34"
"33","15","34"
"34","15","34"
"35","15","37"
"36","15","37"
"37","14","40"
"38","14","40"
