Season,Match,Position,Date
2017_18,1,0.0,2017-08-13
2017_18,2,20.0,2017-08-19
2017_18,3,20.0,2017-08-26
2017_18,4,20.0,2017-09-11
2017_18,5,18.0,2017-09-16
2017_18,6,18.0,2017-09-23
2017_18,7,18.0,2017-09-30
2017_18,8,15.0,2017-10-14
2017_18,9,14.0,2017-10-20
2017_18,10,17.0,2017-10-28
2017_18,11,16.0,2017-11-04
2017_18,12,17.0,2017-11-19
2017_18,13,18.0,2017-11-24
2017_18,14,18.0,2017-11-29
2017_18,15,18.0,2017-12-03
2017_18,16,19.0,2017-12-09
2017_18,17,18.0,2017-12-13
2017_18,18,19.0,2017-12-16
2017_18,19,15.0,2017-12-23
2017_18,20,17.0,2017-12-26
2017_18,21,17.0,2018-01-02
2017_18,22,16.0,2018-01-04
2017_18,23,15.0,2018-01-13
2017_18,24,11.0,2018-01-20
2017_18,25,11.0,2018-01-30
2017_18,26,10.0,2018-02-03
2017_18,27,12.0,2018-02-10
2017_18,28,12.0,2018-02-24
2017_18,29,13.0,2018-03-03
2017_18,30,14.0,2018-03-10
2017_18,31,16.0,2018-03-31
2017_18,32,14.0,2018-04-08
2017_18,33,14.0,2018-04-16
2017_18,34,14.0,2018-04-22
2017_18,35,15.0,2018-04-29
2017_18,36,15.0,2018-05-05
2017_18,37,15.0,2018-05-10
2017_18,38,15.0,2018-05-13
2018_19,1,13.0,2018-08-12
2018_19,2,20.0,2018-08-18
2018_19,3,20.0,2018-08-25
2018_19,4,20.0,2018-09-01
2018_19,5,20.0,2018-09-16
2018_19,6,16.0,2018-09-23
2018_19,7,17.0,2018-09-29
2018_19,8,13.0,2018-10-05
2018_19,9,15.0,2018-10-20
2018_19,10,15.0,2018-10-27
2018_19,11,13.0,2018-11-03
2018_19,12,13.0,2018-11-10
2018_19,13,13.0,2018-11-24
2018_19,14,13.0,2018-12-01
2018_19,15,13.0,2018-12-04
2018_19,16,12.0,2018-12-08
2018_19,17,10.0,2018-12-15
2018_19,18,9.0,2018-12-22
2018_19,19,12.0,2018-12-27
2018_19,20,9.0,2018-12-30
2018_19,21,11.0,2019-01-02
2018_19,22,10.0,2019-01-12
2018_19,23,9.0,2019-01-19
2018_19,24,10.0,2019-01-29
2018_19,25,11.0,2019-02-04
2018_19,26,12.0,2019-02-09
2018_19,27,10.0,2019-02-22
2018_19,28,9.0,2019-02-27
2018_19,29,10.0,2019-03-02
2018_19,30,9.0,2019-03-09
2018_19,31,9.0,2019-03-16
2018_19,32,9.0,2019-03-30
2018_19,33,11.0,2019-04-08
2018_19,34,11.0,2019-04-13
2018_19,35,11.0,2019-04-20
2018_19,36,11.0,2019-04-27
2018_19,37,11.0,2019-05-04
2018_19,38,11.0,2019-05-12
2023_22,1,10.0,2022-08-07
2023_22,2,19.0,2022-08-14
2023_22,3,19.0,2022-08-21
2023_22,4,20.0,2022-08-28
2023_22,5,16.0,2022-08-31
2023_22,6,14.0,2022-09-03
2023_22,7,18.0,2022-09-18
2023_22,8,18.0,2022-10-01
2023_22,9,15.0,2022-10-09
2023_22,10,13.0,2022-10-16
2023_22,11,12.0,2022-10-19
2023_22,12,13.0,2022-10-24
2023_22,13,10.0,2022-10-30
2023_22,14,13.0,2022-11-06
2023_22,15,15.0,2022-11-12
2023_22,16,16.0,2022-12-26
2023_22,17,16.0,2022-12-30
2023_22,18,17.0,2023-01-04
2023_22,19,17.0,2023-01-14
2023_22,20,18.0,2023-01-21
2023_22,21,15.0,2023-02-04
2023_22,22,16.0,2023-02-11
2023_22,23,16.0,2023-02-19
2023_22,24,18.0,2023-02-25
2023_22,25,16.0,2023-03-04
2023_22,26,16.0,2023-03-12
2023_22,27,17.0,2023-04-02
2023_22,28,14.0,2023-04-05
2023_22,29,15.0,2023-04-08
2023_22,30,13.0,2023-04-16
2023_22,31,15.0,2023-04-23
2023_22,32,13.0,2023-04-26
2023_22,33,14.0,2023-04-29
2023_22,34,15.0,2023-05-03
2023_22,35,15.0,2023-05-07
2023_22,36,15.0,2023-05-14
2023_22,37,15.0,2023-05-21
2023_22,38,14.0,2023-05-28
2023_24,1,14.0,2023-08-12
2023_24,2,8.0,2023-08-20
2023_24,3,6.0,2023-08-26
2023_24,4,1.0,2023-09-01
2023_24,5,1.0,2023-09-16
2023_24,6,6.0,2023-09-24
2023_24,7,7.0,2023-09-30
2023_24,8,7.0,2023-10-08
2023_24,9,7.0,2023-10-22
2023_24,10,9.0,2023-10-29
2023_24,11,9.0,2023-11-04
2023_24,12,11.0,2023-11-12
2023_24,13,9.0,2023-11-25
2023_24,14,9.0,2023-12-03
2023_24,15,9.0,2023-12-07
2023_24,16,9.0,2023-12-10
2023_24,17,9.0,2023-12-17
2023_24,18,8.0,2023-12-23
2023_24,19,6.0,2023-12-28
2023_24,20,6.0,2024-01-02
2023_24,21,6.0,2024-01-21
2023_24,22,6.0,2024-02-01
2023_24,23,6.0,2024-02-04
2023_24,24,7.0,2024-02-11
2023_24,25,8.0,2024-02-17
2023_24,26,8.0,2024-02-26
2023_24,27,8.0,2024-03-02
2023_24,28,7.0,2024-03-10
2023_24,29,7.0,2024-03-17
2023_24,30,7.0,2024-03-30
2023_24,31,7.0,2024-04-02
2023_24,32,7.0,2024-04-06
2023_24,33,7.0,2024-04-14
2023_24,34,8.0,2024-04-21
2023_24,35,8.0,2024-04-27
2023_24,36,8.0,2024-05-05
2023_24,37,9.0,2024-05-11
2023_24,38,9.0,2024-05-19
