"Match","Position","Points"
"1","17","0"
"2","20","0"
"3","15","3"
"4","15","3"
"5","15","3"
"6","16","4"
"7","13","7"
"8","14","8"
"9","12","11"
"10","12","12"
"11","13","12"
"12","11","15"
"13","12","15"
"14","14","15"
"15","12","18"
"16","13","19"
"17","14","19"
"18","12","22"
"19","12","25"
"20","11","28"
"21","11","29"
"22","11","29"
"23","10","32"
"24","10","32"
"25","11","35"
"26","8","38"
"27","10","38"
"28","8","41"
"29","10","41"
"30","10","42"
"31","11","42"
"32","11","43"
"33","11","43"
"34","12","43"
"35","10","46"
"36","11","46"
"37","14","46"
"38","15","46"
