Season,Match,Position,Date
2018_19,1,0.0,2018-08-11
2018_19,2,8.0,2018-08-18
2018_19,3,14.0,2018-08-25
2018_19,4,13.0,2018-09-01
2018_19,5,9.0,2018-09-16
2018_19,6,9.0,2018-09-22
2018_19,7,10.0,2018-09-29
2018_19,8,8.0,2018-10-06
2018_19,9,7.0,2018-10-20
2018_19,10,8.0,2018-10-27
2018_19,11,9.0,2018-11-03
2018_19,12,11.0,2018-11-11
2018_19,13,11.0,2018-11-25
2018_19,14,11.0,2018-11-30
2018_19,15,11.0,2018-12-05
2018_19,16,12.0,2018-12-09
2018_19,17,10.0,2018-12-15
2018_19,18,7.0,2018-12-21
2018_19,19,7.0,2018-12-26
2018_19,20,10.0,2018-12-29
2018_19,21,7.0,2019-01-02
2018_19,22,9.0,2019-01-14
2018_19,23,11.0,2019-01-19
2018_19,24,8.0,2019-01-29
2018_19,25,7.0,2019-02-02
2018_19,26,7.0,2019-02-11
2018_19,27,7.0,2019-02-23
2018_19,28,8.0,2019-02-26
2018_19,29,8.0,2019-03-02
2018_19,30,7.0,2019-03-10
2018_19,31,7.0,2019-03-30
2018_19,32,7.0,2019-04-02
2018_19,33,7.0,2019-04-13
2018_19,34,8.0,2019-04-20
2018_19,35,9.0,2019-04-24
2018_19,36,7.0,2019-04-27
2018_19,37,7.0,2019-05-04
2018_19,38,7.0,2019-05-12
2022_23,1,7.0,2022-08-06
2022_23,2,15.0,2022-08-13
2022_23,3,13.0,2022-08-20
2022_23,4,17.0,2022-08-28
2022_23,5,19.0,2022-08-31
2022_23,6,18.0,2022-09-03
2022_23,7,14.0,2022-09-17
2022_23,8,16.0,2022-10-01
2022_23,9,18.0,2022-10-08
2022_23,10,18.0,2022-10-15
2022_23,11,17.0,2022-10-18
2022_23,12,17.0,2022-10-23
2022_23,13,19.0,2022-10-29
2022_23,14,19.0,2022-11-05
2022_23,15,19.0,2022-11-12
2022_23,16,20.0,2022-12-26
2022_23,17,18.0,2022-12-31
2022_23,18,18.0,2023-01-04
2022_23,19,19.0,2023-01-14
2022_23,20,16.0,2023-01-22
2022_23,21,17.0,2023-02-04
2022_23,22,15.0,2023-02-11
2022_23,23,15.0,2023-02-18
2022_23,24,15.0,2023-02-24
2022_23,25,15.0,2023-03-01
2022_23,26,15.0,2023-03-04
2022_23,27,13.0,2023-03-12
2022_23,28,13.0,2023-03-18
2022_23,29,13.0,2023-04-01
2022_23,30,13.0,2023-04-08
2022_23,31,12.0,2023-04-15
2022_23,32,13.0,2023-04-22
2022_23,33,13.0,2023-04-25
2022_23,34,13.0,2023-04-29
2022_23,35,13.0,2023-05-06
2022_23,36,13.0,2023-05-13
2022_23,37,13.0,2023-05-20
2022_23,38,13.0,2023-05-28
2023_24,1,13.0,2023-08-14
2023_24,2,17.0,2023-08-19
2023_24,3,20.0,2023-08-26
2023_24,4,15.0,2023-09-03
2023_24,5,15.0,2023-09-16
2023_24,6,15.0,2023-09-23
2023_24,7,16.0,2023-09-30
2023_24,8,13.0,2023-10-08
2023_24,9,14.0,2023-10-21
2023_24,10,12.0,2023-10-28
2023_24,11,12.0,2023-11-04
2023_24,12,13.0,2023-11-11
2023_24,13,11.0,2023-11-27
2023_24,14,12.0,2023-12-02
2023_24,15,14.0,2023-12-05
2023_24,16,12.0,2023-12-09
2023_24,17,13.0,2023-12-17
2023_24,18,14.0,2023-12-24
2023_24,19,12.0,2023-12-27
2023_24,20,12.0,2023-12-30
2023_24,21,11.0,2024-01-22
2023_24,22,11.0,2024-02-01
2023_24,23,11.0,2024-02-04
2023_24,24,10.0,2024-02-10
2023_24,25,10.0,2024-02-17
2023_24,26,11.0,2024-02-25
2023_24,27,8.0,2024-03-02
2023_24,28,10.0,2024-03-09
2023_24,29,8.0,2024-03-30
2023_24,30,10.0,2024-04-02
2023_24,31,10.0,2024-04-06
2023_24,32,11.0,2024-04-13
2023_24,33,11.0,2024-04-20
2023_24,34,11.0,2024-04-24
2023_24,35,12.0,2024-04-27
2023_24,36,10.0,2024-05-04
2023_24,37,11.0,2024-05-11
2023_24,38,14.0,2024-05-19
